gene,log fold change,p-value,adjusted p-value,cluster
DCN,1.2356126,0.0,0.0,Fib1
MMP2,2.3925738,0.0,0.0,Fib1
WISP2,3.01588,0.0,0.0,Fib1
MFAP5,2.84013,0.0,0.0,Fib1
SCARA5,2.7351117,0.0,0.0,Fib1
FSTL1,1.7228122,0.0,0.0,Fib1
FBLN1,1.7860656,0.0,0.0,Fib1
CD55,2.841603,0.0,0.0,Fib1
FBN1,2.3217552,0.0,0.0,Fib1
CLEC3B,2.862261,0.0,0.0,Fib1
PI16,2.6469066,0.0,0.0,Fib1
TIMP2,1.4250215,0.0,0.0,Fib1
ANXA2,1.0769697,0.0,0.0,Fib1
ACTB,1.0556843,0.0,0.0,Fib1
CTSK,1.313368,0.0,0.0,Fib1
S100A10,1.0926056,0.0,0.0,Fib1
CYBRD1,1.48102,0.0,0.0,Fib1
IGFBP5,1.883597,0.0,0.0,Fib1
TIMP3,1.5654985,0.0,0.0,Fib1
CLU,1.8378791,0.0,0.0,Fib1
S100A6,0.8576096,0.0,0.0,Fib1
SH3BGRL3,1.5598731,0.0,0.0,Fib1
CCDC80,1.2798047,0.0,0.0,Fib1
IGFBP6,1.9180944,0.0,0.0,Fib1
CST3,1.0406944,0.0,0.0,Fib1
PCOLCE2,3.1250365,0.0,0.0,Fib1
COL1A2,0.978929,0.0,0.0,Fib1
CHRDL1,2.0665004,0.0,0.0,Fib1
ACTG1,0.8091033,0.0,0.0,Fib1
GPNMB,1.3353208,0.0,0.0,Fib1
CD34,1.8188739,0.0,0.0,Fib1
CTHRC1,1.7601101,0.0,0.0,Fib1
SPARC,1.0852559,0.0,0.0,Fib1
AQP1,1.6812679,0.0,0.0,Fib1
CD248,1.6349168,0.0,0.0,Fib1
ISLR,1.3894931,0.0,0.0,Fib1
SLPI,3.602925,0.0,0.0,Fib1
THBS2,1.4614494,0.0,0.0,Fib1
MYADM,1.5593036,4.76651882431397e-310,9.10107188017448e-308,Fib1
DPP4,2.9878564,1.9402197430204e-300,3.614250801784952e-298,Fib1
CD59,1.1986561,7.882117727370014e-296,1.4505945576575536e-293,Fib1
PTGIS,2.1404855,2.739172521194674e-294,4.981054793005791e-292,Fib1
FBLN2,1.1426564,3.387060740778219e-285,5.946822162688194e-283,Fib1
TGFBR3,1.5183421,2.6789322477719618e-278,4.597830346597384e-276,Fib1
CYB5R3,1.1962843,8.343445100513243e-278,1.4160680434482198e-275,Fib1
PAM,1.292286,2.849649480159264e-276,4.731347370590517e-274,Fib1
TUBA1A,1.191424,4.519507872494054e-276,7.423170188424374e-274,Fib1
FHL1,1.2483958,1.2187200010235438e-275,1.9804200016632586e-273,Fib1
PMP22,0.9919772,6.81048410675113e-263,1.0508095427335707e-260,Fib1
S100A11,0.9747932,2.823309681553752e-262,4.312605538573356e-260,Fib1
RHOA,0.9615505,2.089493221195224e-260,3.1600998964115886e-258,Fib1
XG,1.6066208,4.089024603492743e-257,6.123514786112907e-255,Fib1
COL1A1,1.0407875,1.3028272032851846e-251,1.877423163224641e-249,Fib1
AHNAK,0.9037534,2.9989643591028493e-251,4.281231830401498e-249,Fib1
PLAC9,1.0268803,2.476910127730549e-244,3.4710827707416637e-242,Fib1
TPM1,1.3234042,1.4986110356050521e-242,2.0810257789879245e-240,Fib1
MFAP4,0.9049327,2.1702674020010377e-239,2.9865616725735e-237,Fib1
ACKR3,2.5975814,1.03880212092303e-236,1.4167591425981503e-234,Fib1
CD81,0.924094,1.5435263359792743e-236,2.0864924585914526e-234,Fib1
CFD,0.98587507,7.521304664861117e-233,1.0077888487346803e-230,Fib1
LOX,1.3043602,1.557163922922058e-222,1.9987965481205405e-220,Fib1
CAPN2,1.2252824,9.109029183672922e-221,1.1595035065050325e-218,Fib1
VAT1,1.5278045,7.0765989960540575e-217,8.860249972518503e-215,Fib1
PLPP3,0.9643543,1.050378610428785e-216,1.30443359953656e-214,Fib1
PDGFRL,1.415092,7.153498550431546e-216,8.741575228627348e-214,Fib1
SEMA3C,2.6596947,2.3057216553265517e-213,2.7952300226280217e-211,Fib1
CRYAB,1.3275368,2.915746971529927e-209,3.452560851947258e-207,Fib1
SFRP2,1.2359986,5.717931821688245e-209,6.718569890483688e-207,Fib1
SLIT3,0.9759748,1.2714157149327345e-205,1.4493190332535462e-203,Fib1
PSAP,0.69429445,1.7350698121248652e-196,1.906704415842253e-194,Fib1
CPE,1.1655369,1.965855087776149e-195,2.144888318984334e-193,Fib1
AHNAK2,1.693231,1.854553906805646e-193,1.981000764087849e-191,Fib1
C1QTNF3,2.749562,4.366149489109782e-192,4.599512651458752e-190,Fib1
ELN,1.4092097,8.41735739276439e-188,8.806516039347674e-186,Fib1
AEBP1,0.9576444,1.6637453562732584e-187,1.728823831093471e-185,Fib1
ANXA5,0.781782,1.0970234571839804e-184,1.132231980303061e-182,Fib1
GSN,0.8507588,5.760229540659098e-184,5.905201760642129e-182,Fib1
ANGPTL1,1.6610097,6.323726349363055e-176,6.231930321711011e-174,Fib1
FKBP9,1.1706414,1.3326908486518027e-175,1.304926455971557e-173,Fib1
LGALS3,0.70768815,6.718480714508524e-172,6.4952400578555514e-170,Fib1
S100A4,0.7105436,4.8897340866384555e-167,4.66816801083765e-165,Fib1
CD9,0.92359865,7.475962988184608e-167,7.092877928231048e-165,Fib1
COL14A1,1.2102884,1.1027649809630014e-165,1.039798461988262e-163,Fib1
TMSB4X,0.61511344,1.5696977154149745e-165,1.470989730243174e-163,Fib1
ABI3BP,1.2487768,5.298842283958006e-158,4.875892523340875e-156,Fib1
BASP1,1.6574562,2.4986776137367626e-155,2.2854670987921586e-153,Fib1
VCAN,0.8891612,2.9175748669709075e-153,2.6370388220698587e-151,Fib1
FN1,0.88257426,2.1485798096900258e-147,1.9192723153810026e-145,Fib1
COL3A1,0.7931333,1.2034092903646338e-146,1.068725401762778e-144,Fib1
COL12A1,1.1041187,1.54330257986885e-138,1.3169802741618259e-136,Fib1
ITGB5,1.1174778,4.688340946167247e-135,3.956597124458823e-133,Fib1
ECM1,1.1010146,5.2629688438294915e-135,4.417134565356894e-133,Fib1
PDGFRB,1.1447544,1.867138249342767e-133,1.5584992764322823e-131,Fib1
DPYSL2,1.0050697,6.349413532896112e-131,5.257858760901627e-129,Fib1
CILP,1.6439409,6.367946780797389e-131,5.257858760901627e-129,Fib1
PLTP,1.0854704,1.301343706966261e-124,1.0299494882854735e-122,Fib1
ANGPTL2,0.9816353,5.484730525265916e-124,4.3185184934761274e-122,Fib1
CAPNS1,0.9427227,4.138641054277707e-123,3.2419354925175374e-121,Fib1
PPL,1.2119957,2.5748516019036538e-121,1.9964902649278333e-119,Fib1
RTN4,0.76990384,6.779583758519088e-121,5.230209187443387e-119,Fib1
NBL1,1.0211974,8.937241431668201e-121,6.860118737122199e-119,Fib1
QPCT,1.7043236,9.046197311583786e-120,6.909033196722117e-118,Fib1
MGP,0.9115451,4.4234674148302513e-119,3.361615162265278e-117,Fib1
MEDAG,1.6048831,1.0865718645650786e-118,8.216527342193848e-117,Fib1
MAP1B,0.88569015,2.3205651286003338e-111,1.67201095940425e-109,Fib1
GALNT15,2.248613,9.91460307416135e-111,7.110120279709607e-109,Fib1
FTH1,0.48098975,1.3891387145698173e-107,9.823654567154612e-106,Fib1
AOX1,1.5087197,3.0705138355333773e-107,2.161387043215315e-105,Fib1
SLC29A1,1.4194956,7.12018746420271e-107,4.989030436499834e-105,Fib1
PRELP,0.80892825,5.576438173430825e-104,3.871822413597993e-102,Fib1
IQGAP1,1.0384606,8.567771332776382e-104,5.9218419505954404e-102,Fib1
CAST,0.7989828,1.243450524750775e-103,8.555723768273913e-102,Fib1
DBN1,1.8480784,7.802939533960905e-103,5.34483862696201e-101,Fib1
TPM4,0.80919224,8.823889518993772e-103,6.017183589403119e-101,Fib1
HSD3B7,1.9883915,3.0025829338449126e-100,2.011598873442151e-98,Fib1
AXL,0.9669925,7.790751840979656e-100,5.196669623186212e-98,Fib1
OMD,1.0825223,1.3746220285116503e-95,8.897182832845533e-94,Fib1
COL5A1,0.8510541,6.688287874174028e-94,4.292588120924717e-92,Fib1
AKR1C2,1.4501054,3.0513147927958133e-92,1.9420347274981689e-90,Fib1
ZYX,1.174455,1.383827940398418e-90,8.663103192453212e-89,Fib1
TUBA1B,0.5890545,2.1125820404682925e-90,1.3171302313531904e-88,Fib1
AKR1C3,1.2266397,4.599188883182262e-90,2.85579716221988e-88,Fib1
MYOF,1.412217,1.5387876939009438e-89,9.439751817002778e-88,Fib1
VASN,1.3044807,2.7956198477186176e-89,1.7081237269560753e-87,Fib1
ITGBL1,0.90069073,3.234618119255325e-88,1.9606663401438525e-86,Fib1
APLP2,0.71813494,2.5948707306157907e-83,1.5363042794634186e-81,Fib1
METRNL,1.6811548,9.190273222010145e-83,5.420132180162355e-81,Fib1
NDFIP1,0.668306,2.2917646000584278e-82,1.3464117025343264e-80,Fib1
ITIH5,1.0826477,1.1124555315387712e-81,6.4857855894102025e-80,Fib1
MYL6,0.49447682,4.19061323901129e-81,2.4339017956615005e-79,Fib1
OLFML3,0.68101066,2.929506840948543e-80,1.6950082195260981e-78,Fib1
ATP2B4,1.2381259,5.629437450737879e-80,3.2326938744368836e-78,Fib1
PLXDC2,1.2465423,8.848285669753542e-80,5.062081033913308e-78,Fib1
PODN,0.85970587,1.1960827609971796e-79,6.817225438146238e-78,Fib1
SSC5D,1.5918297,1.4658812918929373e-78,8.323917001362311e-77,Fib1
YWHAQ,0.7352906,6.683503643899958e-78,3.7671777919030203e-76,Fib1
HTRA1,0.56292874,6.903045219763937e-78,3.876618225437284e-76,Fib1
GNAS,0.55183524,9.612112989100261e-78,5.37820607723467e-76,Fib1
MGST1,0.92914814,4.749169129046965e-77,2.6475751257734453e-75,Fib1
PAMR1,2.442737,6.35880101832719e-75,3.468953055533851e-73,Fib1
TSPAN8,1.6979119,3.769210227215744e-74,2.0489212178192345e-72,Fib1
EMP1,0.6127547,5.159130503907449e-73,2.7748492410981084e-71,Fib1
FGFR1,0.75223756,1.5777739171187003e-72,8.456314590873035e-71,Fib1
PALM,1.6005197,4.2708392915983386e-72,2.2810164398309307e-70,Fib1
IGSF10,1.4934975,8.290708421394288e-72,4.412563454243824e-70,Fib1
C1R,0.53364354,1.4274063722034746e-71,7.570705672016692e-70,Fib1
GNAI2,0.7917705,3.2208371836559536e-71,1.70236290589428e-69,Fib1
ANGPTL5,1.6471165,9.177077159377867e-71,4.800679918133456e-69,Fib1
ANXA1,0.48172697,1.2224791193609387e-70,6.373163327043802e-69,Fib1
HPGD,1.8421584,9.998362782587684e-70,5.177118356068708e-68,Fib1
ADIRF,0.6229281,2.44502676946918e-69,1.2617494562041123e-67,Fib1
PIGT,0.9332213,3.1604306643726034e-68,1.614567839407743e-66,Fib1
SPTBN1,0.6416323,1.5862253432649177e-67,8.076530706123872e-66,Fib1
REXO2,0.8855416,1.1631556338162554e-66,5.825312231653541e-65,Fib1
CLIC1,0.6490459,2.9246106873765924e-65,1.459915955871812e-63,Fib1
NDRG1,0.94229037,4.412382271052498e-64,2.1882837399456787e-62,Fib1
ANXA4,0.92444307,2.119749884855308e-63,1.0444896610053171e-61,Fib1
YWHAB,0.60451186,1.0025407554639827e-61,4.908272448625749e-60,Fib1
GABARAP,0.67282957,3.172865407051431e-61,1.5434878691946056e-59,Fib1
DPYSL3,0.7923048,3.6685465125503344e-61,1.778953904101789e-59,Fib1
TNFAIP2,1.0842384,5.292927493635604e-61,2.5585274514330337e-59,Fib1
JUND,1.0472822,1.4964562974582398e-60,7.188166648954281e-59,Fib1
NFIX,0.69034797,1.6078008668116093e-60,7.698795686691954e-59,Fib1
ACKR4,1.4176602,2.1729671657393632e-60,1.0372522955208991e-58,Fib1
C1orf21,1.2050538,4.865004387888695e-60,2.3150449228971907e-58,Fib1
GPX4,0.48717198,2.681590717210557e-59,1.2681516472257356e-57,Fib1
CREB5,2.5385563,3.8819829748858388e-59,1.8245319981963444e-57,Fib1
LRRN4CL,1.3227217,3.995296254232075e-59,1.872029149797391e-57,Fib1
SMOC2,0.89262193,3.721289724083154e-58,1.7225060768293991e-56,Fib1
NT5E,0.9953225,6.243297774261982e-58,2.8724811295738484e-56,Fib1
CD44,0.51071095,8.469276976590987e-58,3.8849311056284487e-56,Fib1
SCARA3,1.1884639,1.8711954710864982e-57,8.532092782342167e-56,Fib1
LRP10,0.7807133,6.506422305683685e-57,2.9491276177839257e-55,Fib1
CA12,3.0520523,7.060400783627716e-57,3.1907580464471408e-55,Fib1
GALNT16,1.5554436,7.309793042625955e-57,3.28403202135622e-55,Fib1
EMILIN2,2.0554214,1.9466628604756947e-55,8.544619308553516e-54,Fib1
MAP1A,0.99598676,2.1368283357032955e-55,9.352450667010842e-54,Fib1
ANK2,0.88735396,2.1841869912815557e-55,9.53241608337879e-54,Fib1
FGL2,0.87845373,5.035967829166913e-55,2.185352516776267e-53,Fib1
CALM1,0.5225885,6.422822425504257e-55,2.7792808087699014e-53,Fib1
SPON2,0.8711504,3.834072023956963e-54,1.6450969147736689e-52,Fib1
LAMP1,0.57452995,1.035587923269526e-53,4.430981940600003e-52,Fib1
CP,1.009516,1.0574754259260416e-53,4.511993612016839e-52,Fib1
SFRP4,2.087851,1.4943871645846002e-53,6.3584300665821086e-52,Fib1
ATL3,0.88731027,2.5509042508648347e-53,1.0823628453322319e-51,Fib1
RNH1,0.6729168,3.357961759902876e-53,1.420855010596023e-51,Fib1
POLR2L,0.587771,3.431652342014969e-53,1.4480245724938853e-51,Fib1
FUCA2,0.9838503,1.065044307153768e-52,4.4816947084776326e-51,Fib1
CAP1,0.7029545,1.8937864610352955e-52,7.947139613273115e-51,Fib1
SPOCK1,0.91372824,2.1483970988220663e-52,8.990894708084127e-51,Fib1
TXN,0.53330815,8.601600704563765e-52,3.5800940262182973e-50,Fib1
EMP3,0.6537632,7.847216908194088e-51,3.257234735670236e-49,Fib1
SNX9,0.8503051,1.6250856226297748e-50,6.708968347478327e-49,Fib1
MRC2,1.0251198,2.020214247225136e-50,8.317728470718047e-49,Fib1
LGR5,2.7116258,2.339858925204041e-50,9.60788846303541e-49,Fib1
FAM180B,1.6171784,3.5228801918394115e-50,1.4426808292318234e-48,Fib1
YWHAH,1.2468203,6.945949468423781e-50,2.836881768186451e-48,Fib1
ADD3,0.6523169,4.0101473064019864e-49,1.629122343225807e-47,Fib1
AKR1C1,1.0644547,9.09222472801822e-49,3.6839186398004856e-47,Fib1
MXRA7,0.8307139,1.9686113510818513e-48,7.955168885654836e-47,Fib1
ADH1B,0.5931531,5.338971301064883e-48,2.146125963783318e-46,Fib1
DST,0.7370469,1.3308885505718148e-47,5.321812201566616e-46,Fib1
OSR2,0.8585058,2.257828003270001e-47,9.004784007819651e-46,Fib1
LUM,0.43954062,2.7144131855781194e-47,1.0797568075444213e-45,Fib1
CAMK1D,1.6154736,3.6333575517263293e-47,1.4378118290834116e-45,Fib1
OLFML1,0.7665658,4.725155227288316e-47,1.865032198884471e-45,Fib1
ABLIM1,1.343048,5.379709377717121e-47,2.112469427882494e-45,Fib1
SPTAN1,0.8585121,2.4318420345549577e-46,9.500354751362398e-45,Fib1
TAGLN2,0.6307431,4.157099382437815e-46,1.619890129253511e-44,Fib1
PLS3,0.85249704,5.998691462875814e-46,2.3315524706215793e-44,Fib1
GPX3,0.72192025,6.4050747576313965e-46,2.4831857087010047e-44,Fib1
LAMC1,0.6519597,6.7476293725233665e-46,2.609368067475808e-44,Fib1
HEXB,0.7334065,1.4534578231953646e-45,5.606456628613433e-44,Fib1
KLF4,0.6936866,4.442242019712728e-45,1.7092001725720887e-43,Fib1
ALDOA,0.78458387,1.3784147256020972e-44,5.27701376781254e-43,Fib1
PPIC,0.68008584,1.383139011609654e-44,5.281862100584366e-43,Fib1
CD63,0.36649302,1.5742697017113976e-44,5.981833257124776e-43,Fib1
ALDH3A2,1.088244,3.155352148573351e-44,1.1930199027093548e-42,Fib1
TUBB6,0.7359876,5.881488194416964e-44,2.2182649918449167e-42,Fib1
TIMP1,0.41341594,6.333434040949889e-44,2.3828375609731415e-42,Fib1
MT-CYB,0.26961294,6.690250437349468e-44,2.5108986592263666e-42,Fib1
LASP1,0.8363558,1.4749631414468424e-43,5.522074016078558e-42,Fib1
FAM114A1,0.74585795,1.1013271519262423e-42,4.0831971470080946e-41,Fib1
ADAMTS2,1.0931431,1.7282695530559393e-42,6.392086543082197e-41,Fib1
GFRA1,0.7565042,1.8219575567845513e-42,6.722319246348798e-41,Fib1
HDLBP,0.5311956,3.034548206516206e-42,1.1169331049285552e-40,Fib1
HTRA3,1.038705,4.067813197323792e-42,1.4899078373255293e-40,Fib1
CDK2AP1,0.9067048,4.0771291391297625e-42,1.4899078373255293e-40,Fib1
FAM129A,1.1780256,4.3607212909050576e-42,1.5897378930447435e-40,Fib1
DIAPH1,1.306767,4.5475774727478963e-42,1.6539106165767647e-40,Fib1
LINC01133,2.5744507,1.377508503060291e-41,4.997967312172433e-40,Fib1
KLF6,0.6733161,1.7224291248183878e-41,6.234622009858027e-40,Fib1
EHD2,0.84771967,1.9676059909995213e-41,7.10524385638716e-40,Fib1
SDCBP,0.59159464,2.15810579158024e-41,7.774779709053814e-40,Fib1
ABCC9,1.6103634,4.947095431675956e-41,1.765581371935753e-39,Fib1
ARL6IP5,0.44863498,9.088878849371243e-41,3.228665684282459e-39,Fib1
CAPG,1.0544882,4.375047618330256e-40,1.5292643562927841e-38,Fib1
SERF2,0.3823331,8.377412581509424e-40,2.9215748215195537e-38,Fib1
CAVIN1,0.4306291,9.874801540317249e-40,3.4359360712607284e-38,Fib1
BRI3,0.7103713,1.0924400322469867e-39,3.7925048846756184e-38,Fib1
RAB7A,0.55933404,1.8989212226089782e-39,6.562448342839851e-38,Fib1
C17orf49,0.67510974,3.221660577704834e-39,1.110854747730053e-37,Fib1
DLGAP4,1.2659199,8.236078329457914e-39,2.8207644951226376e-37,Fib1
AGAP1,1.9332154,1.6545693665767213e-38,5.641416757691835e-37,Fib1
TUBB,0.38489872,5.223774630831001e-38,1.7653353426093706e-36,Fib1
TNFAIP6,1.5713174,6.255131506857707e-38,2.1092082509327038e-36,Fib1
PLPP1,0.6337467,8.244571962547633e-38,2.7739171085443854e-36,Fib1
PROS1,0.776457,9.006050211009241e-38,3.0234597136959596e-36,Fib1
LIMA1,0.6111488,1.3301456366965327e-37,4.445946302087426e-36,Fib1
RECK,1.0036813,1.8680706725574465e-37,6.230301205963973e-36,Fib1
DDAH2,0.6175429,3.6514525926865626e-37,1.2125203989845053e-35,Fib1
OPTN,0.74044484,8.719527981228574e-37,2.889171147793199e-35,Fib1
RTL8C,0.7082316,1.0720318136893019e-36,3.5444341892000186e-35,Fib1
CTNNA1,0.66600543,2.7688492720491194e-36,9.11512341175653e-35,Fib1
TMSB10,0.318727,2.8052052367037164e-36,9.214948385085864e-35,Fib1
NFIB,0.5284698,9.30778254784824e-36,3.0509952450296536e-34,Fib1
CD276,1.0591217,1.1833667513075067e-35,3.8706482068998214e-34,Fib1
SQSTM1,0.451434,1.6947640732291257e-35,5.531521627900619e-34,Fib1
LRRC32,1.1793854,2.5007574481814356e-35,8.127461706589665e-34,Fib1
PTTG1IP,0.6372693,3.034719650381651e-35,9.821047173639772e-34,Fib1
MGST3,0.4231108,5.140865899535864e-35,1.656681996105703e-33,Fib1
FAP,1.0377162,7.566287113145213e-35,2.4331586453324867e-33,Fib1
CRABP2,0.61325926,9.167638823216149e-35,2.9296167996783823e-33,Fib1
PKM,0.47763714,1.491165077122297e-34,4.755228925478724e-33,Fib1
TRIOBP,0.9783674,3.514074043497982e-34,1.1159559462459808e-32,Fib1
CSTB,0.55064386,5.900262703016511e-34,1.8659733496599837e-32,Fib1
CD151,0.78102463,7.91570872188618e-34,2.4981911307192437e-32,Fib1
UAP1,1.0786282,1.0195014040622891e-33,3.2109039066085497e-32,Fib1
RHOQ,1.0509099,2.9991546688099433e-33,9.4069995002201e-32,Fib1
TPP1,0.7751627,3.505135924583009e-33,1.092672474449091e-31,Fib1
LIMS2,1.9250802,4.681146155303923e-33,1.456303615524795e-31,Fib1
NUCB2,0.6762749,5.806284124878029e-33,1.7990058825053122e-31,Fib1
VEGFB,0.86344653,1.1127791531269818e-32,3.4408302761163254e-31,Fib1
SERPINF1,0.35258752,9.584051276103038e-32,2.9337952553601987e-30,Fib1
STK24,0.7217671,1.6154677199607386e-31,4.925403078323409e-30,Fib1
RPS27L,0.49603903,1.8284083129701303e-31,5.5635332630714625e-30,Fib1
DSTN,0.3557416,1.9554964612668711e-31,5.9384112218392566e-30,Fib1
SLC43A3,0.9225998,1.9878976001556964e-31,6.024828540154417e-30,Fib1
TRIO,1.3634963,3.4671115564952085e-31,1.0445784817645821e-29,Fib1
FYN,0.7951505,3.8497457055028397e-31,1.1575760955030684e-29,Fib1
FLNA,0.67107064,4.289098472026541e-31,1.2871508675875326e-29,Fib1
GAS7,0.81834126,1.2675529641488357e-30,3.78161553269013e-29,Fib1
CRISPLD2,0.67019534,1.4979801030935294e-30,4.4603598586264446e-29,Fib1
CD70,3.655026,1.6678510161277757e-30,4.9565027765275825e-29,Fib1
ZNF385A,1.7666384,1.7228769361514214e-30,5.110086446546205e-29,Fib1
CERCAM,0.86216515,3.03634237264909e-30,8.953693000427578e-29,Fib1
ANXA11,0.56860083,3.572278313739594e-30,1.0513786366545723e-28,Fib1
TMEM43,0.56633806,5.076284596095895e-30,1.4911586001031692e-28,Fib1
IL6ST,0.5012362,6.487825743885762e-30,1.902140849095106e-28,Fib1
PLBD2,0.8143619,6.683323129881191e-30,1.95570423005623e-28,Fib1
CLTC,0.60235953,1.685982796833685e-29,4.896081220843069e-28,Fib1
TACC1,0.6134923,2.646337651942706e-29,7.655834779057733e-28,Fib1
SH3D19,0.87486327,2.6603617215387223e-29,7.6818573339327e-28,Fib1
TMBIM1,0.7480569,3.078655454304406e-29,8.839560538439813e-28,Fib1
ACAT1,0.96148056,3.7645214021932567e-29,1.0788567433114821e-27,Fib1
DYNLRB1,0.5048847,6.604929055690638e-29,1.878776374779786e-27,Fib1
PTGES,1.0651498,7.234090334893861e-29,2.0539169119982104e-27,Fib1
THBS3,1.3873991,8.675226939605162e-29,2.453964657453127e-27,Fib1
LAMB2,0.5362254,1.130377811445874e-28,3.191593543407713e-27,Fib1
LTBP1,0.62513137,1.632395470013444e-28,4.5920517135276896e-27,Fib1
ARHGAP21,0.863531,1.706035341345303e-28,4.7903841615899824e-27,Fib1
SLITRK4,1.9147722,1.733133297877569e-28,4.857543325702727e-27,Fib1
CALU,0.49045223,2.7466206214375464e-28,7.66995063847505e-27,Fib1
AGTR1,0.88287616,5.102954511341917e-28,1.4172296392863232e-26,Fib1
PXN,1.3959073,7.982264662343807e-28,2.2048660527540985e-26,Fib1
MYL12B,0.32105777,1.694675318872581e-27,4.655785161111273e-26,Fib1
MAN2B2,0.92790204,2.5013278664429923e-27,6.847272967727008e-26,Fib1
ITGB1BP1,0.59409267,2.612315835892485e-27,7.138304900403884e-26,Fib1
FBXL18,1.1849673,3.992790600197494e-27,1.0891049360360128e-25,Fib1
CDH13,1.728251,4.2965591952302014e-27,1.1698741837280092e-25,Fib1
PRDX1,0.4174453,4.972023865534925e-27,1.3513819314243057e-25,Fib1
ADAM33,1.0616844,6.636002653474763e-27,1.7972507186494147e-25,Fib1
CAB39L,1.3993018,1.0673018218093133e-26,2.8854929784313736e-25,Fib1
GRN,0.59546465,1.1826868724681915e-26,3.1917918687193686e-25,Fib1
C14orf132,1.6059589,2.3293806183015824e-26,6.264311433900822e-25,Fib1
GFPT2,1.4331845,8.007681677649024e-26,2.1384149934630917e-24,Fib1
MSX1,1.0294912,8.168148847672103e-26,2.177460273092345e-24,Fib1
UBA1,0.71458536,1.1903638832961695e-25,3.1567375550953104e-24,Fib1
RTN3,0.791846,1.3255813754723756e-25,3.50922972449576e-24,Fib1
GLG1,0.6014123,1.471028769805727e-25,3.8808228771645044e-24,Fib1
ADGRA2,0.82537353,1.8186029883302948e-25,4.781266892727238e-24,Fib1
CD47,0.5622516,1.827545309624131e-25,4.796521409709382e-24,Fib1
RBPJ,0.61192346,2.786236472952329e-25,7.287630500744318e-24,Fib1
ADAMTSL4,1.4266638,3.62070094573865e-25,9.454052469428698e-24,Fib1
PLP2,0.54957294,9.152626049615442e-25,2.3817097599297422e-23,Fib1
DYNLL1,0.3422625,9.521678103633178e-25,2.4693316304413718e-23,Fib1
CADM3,1.2417474,1.2491128698432041e-24,3.223006602509281e-23,Fib1
MTSS1,1.705825,1.6004892773338174e-24,4.122676848444193e-23,Fib1
SEC31A,0.46773717,2.1817052275193864e-24,5.600932327791366e-23,Fib1
GNB1,0.60819685,2.3437275214301622e-24,6.006784880846599e-23,Fib1
SIRPA,1.2595142,2.697917870642825e-24,6.902964066008233e-23,Fib1
SVEP1,0.56752133,3.638205522788519e-24,9.262264893432437e-23,Fib1
CFH,0.37484083,4.508403149238396e-24,1.1458545441699916e-22,Fib1
MARVELD1,0.7608359,5.290670197849093e-24,1.3424416490389516e-22,Fib1
NOV,1.1983128,6.050889709447872e-24,1.5302539786724544e-22,Fib1
GAS1,0.51505584,6.987646712864978e-24,1.7613251409077975e-22,Fib1
PGRMC2,0.6826554,1.6472513060366108e-23,4.1248792950342996e-22,Fib1
PXDC1,0.942978,2.1934110804228985e-23,5.47456768847382e-22,Fib1
YBX3,0.38597557,4.4241417850077046e-23,1.0970578858115696e-21,Fib1
TPM3,0.5322854,5.968194491557462e-23,1.4751483957692594e-21,Fib1
ADGRD1,1.9625182,6.564359559460352e-23,1.6198803274758786e-21,Fib1
MT-ND4,0.30379933,1.1058400325538663e-22,2.7157084400740043e-21,Fib1
ENO1,0.3728998,1.15735112234866e-22,2.8365321510740645e-21,Fib1
SWAP70,1.0781438,1.1587535595877029e-22,2.8365321510740645e-21,Fib1
IL17D,1.3875858,1.2621013839906936e-22,3.0845757824732547e-21,Fib1
ARHGAP1,0.8664658,1.4207240699634538e-22,3.455662447243911e-21,Fib1
EGFR,0.612544,1.471365400258085e-22,3.5731488853644274e-21,Fib1
MGAT1,0.70787054,1.5103709207512496e-22,3.6620501292818e-21,Fib1
LMNA,0.31816438,1.642985834913227e-22,3.9772755353882e-21,Fib1
ITGA11,1.2827247,1.7503635159126776e-22,4.2305067572098345e-21,Fib1
RNASE4,0.5198968,1.7575846485398667e-22,4.241248895173217e-21,Fib1
EEA1,0.70835894,2.202259058059872e-22,5.30591594824362e-21,Fib1
SCRN1,1.5738881,2.336683945332221e-22,5.612082903293975e-21,Fib1
VKORC1,0.463462,3.016784032909131e-22,7.22278622299169e-21,Fib1
ARPC2,0.37398064,3.0390264702615337e-22,7.264652477816108e-21,Fib1
RETREG1,1.5305052,3.2170923907855693e-22,7.678294729570245e-21,Fib1
ARHGDIA,0.62104595,3.5339811034933817e-22,8.421460429931577e-21,Fib1
WDR1,0.8121367,3.6989770978762144e-22,8.800915135523236e-21,Fib1
SH3GL1,0.77481806,4.052763027787896e-22,9.627675777521013e-21,Fib1
YWHAZ,0.4479664,4.222885841828738e-22,1.0016239322039436e-20,Fib1
SH3PXD2B,1.1944593,7.264779611144742e-22,1.715139235861452e-20,Fib1
CKB,0.83000803,8.526981449744911e-22,2.0069282225709324e-20,Fib1
CLIP1,1.0034045,9.217255242317709e-22,2.1660549819446617e-20,Fib1
SERPING1,0.27433458,1.2397644917741517e-21,2.9089712153379676e-20,Fib1
FAM19A5,1.965448,1.445270789760419e-21,3.380782743275712e-20,Fib1
APP,0.42784363,1.760655428473885e-21,4.0934568751809125e-20,Fib1
GNS,0.6189334,2.7197617221785284e-21,6.285077202159912e-20,Fib1
IRAK1,1.0906029,3.7487264530555415e-21,8.649818213054894e-20,Fib1
