gene,log fold change,p-value,adjusted p-value,cluster
GADD45A,-0.7581095,5.512414621786554e-17,1.127203927011909e-15,Fib1
SYNGR1,-1.2260389,5.1708589822963023e-17,1.0587784310264882e-15,Fib1
LMO4,-0.79160684,4.8846671310440005e-17,1.0015206768684175e-15,Fib1
FKBP1A,-0.36314848,4.5626940420234984e-17,9.367627888697437e-16,Fib1
DUT,-0.48946223,4.300370401961081e-17,8.840936458944214e-16,Fib1
MZT2A,-0.69017863,3.8343682273643735e-17,7.904180117812525e-16,Fib1
EBPL,-1.1074313,3.649842429796729e-17,7.5339652858304105e-16,Fib1
F2R,-0.63637483,3.541521826309358e-17,7.3202633148681245e-16,Fib1
MAP1LC3A,-1.3373591,3.133685154632091e-17,6.486048880353006e-16,Fib1
PNN,-0.65612876,2.966604625651965e-17,6.148559790615166e-16,Fib1
PLEKHA4,-1.1250579,2.3254362116163113e-17,4.832794303733219e-16,Fib1
IGFBP3,-0.76293325,2.106385613774116e-17,4.383520470081693e-16,Fib1
LAPTM4A,-0.1501019,1.8962039868887497e-17,3.9515028512586154e-16,Fib1
RPL36AL,-0.2716508,1.7695200281737424e-17,3.692543501414469e-16,Fib1
MEOX2,-1.4392949,1.0343015547814404e-17,2.176164772628995e-16,Fib1
SYF2,-0.48500726,7.995423796585107e-18,1.6845530826598277e-16,Fib1
PHB2,-1.345619,7.758112522552852e-18,1.6368117235082156e-16,Fib1
KLF10,-0.9289748,6.153522527463408e-18,1.3054868973194936e-16,Fib1
RNF24,-1.274121,5.74477658330223e-18,1.2204654006945976e-16,Fib1
FKBP11,-1.2075694,3.2677871093069e-18,6.952012269451657e-17,Fib1
CPXM1,-0.921816,2.925395024204064e-18,6.232274615720652e-17,Fib1
PSME1,-0.3497356,1.1715715667045898e-18,2.5169839214363726e-17,Fib1
CPXM2,-1.4614213,1.1556188181045413e-18,2.486208091062939e-17,Fib1
MT1M,-0.72043335,9.882770832895171e-19,2.1291865228839736e-17,Fib1
COX7A2L,-0.5306519,3.8864177223277396e-19,8.432532771101736e-18,Fib1
RAI14,-1.6413196,3.653943125809877e-19,7.939399892851476e-18,Fib1
C9orf3,-1.2855359,3.0159748818130404e-19,6.5718996176453905e-18,Fib1
