gene,log fold change,p-value,adjusted p-value,cluster
HTRA1,1.1662481,6.867725904443506e-119,1.4775283547940077e-116,Fib7
KREMEN1,2.5880835,2.98340846536818e-114,6.329383931735965e-112,Fib7
NDNF,4.5590315,3.348169374267804e-108,6.911255025937932e-106,Fib7
HSPA2,3.51883,4.131192670530464e-102,7.887996005294104e-100,Fib7
CALM2,0.8674309,9.511101581480121e-98,1.7936058846556648e-95,Fib7
SFRP1,1.7784904,2.829980034325363e-96,5.146183931466657e-94,Fib7
LIMCH1,2.4271603,2.6685548685406727e-90,4.632065411018043e-88,Fib7
HSP90AB1,0.80938125,2.041550620229076e-87,3.426888541098806e-85,Fib7
MALAT1,1.6048545,1.732761947463054e-86,2.8769498638584947e-84,Fib7
LTBP4,1.48377,3.2372742310708613e-84,5.09787256490798e-82,Fib7
EMID1,3.099577,5.536754853255108e-81,8.373656473611067e-79,Fib7
ENHO,2.949456,4.97594575170722e-77,7.308420322819979e-75,Fib7
MEOX2,2.646261,1.7808916534918441e-75,2.5907733340083733e-73,Fib7
PTMA,0.7610491,8.281763722159799e-75,1.1934334043018014e-72,Fib7
EDNRA,2.0505562,1.4058860369679328e-74,2.0070008611855303e-72,Fib7
EID1,0.91529685,1.3840749879440714e-72,1.921976858258699e-70,Fib7
PLPP1,1.3850863,1.6357432358371843e-72,2.2509890024696387e-70,Fib7
RSPO4,3.7888954,2.6039141531623414e-72,3.551320418710247e-70,Fib7
ZEB2,1.5714014,1.8328712890596787e-71,2.455886749156719e-69,Fib7
CRABP2,1.3926477,2.7410795683734635e-68,3.5483042717715806e-66,Fib7
H3F3B,0.6638157,7.916630866155906e-68,1.01618938218934e-65,Fib7
MEIS2,2.576408,1.4496801668875628e-66,1.8150708646891414e-64,Fib7
MKX,5.2101254,2.7100117904778305e-65,3.28535159520229e-63,Fib7
MARCKS,1.3251871,1.2754006565674431e-64,1.5339956715801332e-62,Fib7
MAMDC2,2.445582,4.818196278953504e-64,5.749839700079279e-62,Fib7
SELENOP,0.75135744,4.4163857052335886e-63,5.229479972670005e-61,Fib7
ANGPTL2,1.2055314,4.799470780287511e-62,5.639378166837826e-60,Fib7
ARHGAP15,3.8475335,1.292399822294548e-61,1.5069776553854366e-59,Fib7
GAPDH,0.62370414,1.630427582622942e-61,1.8867258579216242e-59,Fib7
GPM6B,2.5610845,1.5141508961406835e-59,1.7260190252648465e-57,Fib7
ARID5B,1.2965944,2.5222463405007453e-58,2.8122126168721814e-56,Fib7
SNHG8,1.2001256,2.621238018364505e-56,2.859957909322701e-54,Fib7
TSC22D1,1.2181613,6.503547799581131e-54,6.851151216455294e-52,Fib7
CIRBP,0.82049406,1.2042022949818803e-52,1.2513054459760694e-50,Fib7
SSPN,1.2049909,5.956207649802675e-51,5.985596832285255e-49,Fib7
PABPC1,0.7368969,7.198818118468196e-50,7.140386153220889e-48,Fib7
SLC40A1,2.1150868,2.0481905816621248e-49,2.0055199445441638e-47,Fib7
TWIST2,1.1037866,7.954846506839595e-49,7.690524075441445e-47,Fib7
BHLHE41,1.94081,8.477449238479998e-49,8.144216170929684e-47,Fib7
SLC22A16,6.0216184,1.80427082762177e-45,1.650313586342667e-43,Fib7
CD9,0.75038636,2.229135435886343e-45,2.026788320426422e-43,Fib7
SRPX,0.9906298,1.4886200015244216e-42,1.2993526013306022e-40,Fib7
DPT,0.77399915,5.396974000002212e-41,4.554628610499104e-39,Fib7
C9orf3,2.1204631,5.716351730930206e-41,4.797652345602137e-39,Fib7
PTGER3,2.1071134,1.0185086811273554e-40,8.364365647430297e-39,Fib7
PCSK1N,4.715029,4.365617954105247e-40,3.5470645877105137e-38,Fib7
AQP1,0.9043058,3.588975004062919e-39,2.8258553189206748e-37,Fib7
HMGB1,0.67362845,1.250689882793117e-38,9.747085693706562e-37,Fib7
SPON1,1.3014928,3.301376902887161e-37,2.4964619896832367e-35,Fib7
ADIRF,0.71788085,6.142689306718103e-37,4.6221467566561095e-35,Fib7
SERTAD4,2.5085828,8.43419519335402e-37,6.315310371494248e-35,Fib7
LRIG1,2.2153966,1.3855848263495637e-36,1.0274178748781351e-34,Fib7
RHOB,1.3050126,1.744309643173292e-36,1.2871656907957504e-34,Fib7
WWTR1,1.287891,4.0388396624073585e-36,2.9518313800608805e-34,Fib7
NSD3,1.4537685,8.737739160181401e-36,6.295705927913722e-34,Fib7
PTH1R,2.5170405,1.1958370610343202e-32,8.046877139779402e-31,Fib7
CD34,0.87138444,4.260089349985294e-32,2.79282681635302e-30,Fib7
NECAB1,4.7020135,5.288525695795413e-32,3.452232051422006e-30,Fib7
CHADL,4.0530453,9.271916324594018e-32,6.001208553312441e-30,Fib7
TBX15,1.500749,1.1908271457208512e-31,7.610830397860251e-30,Fib7
PMEPA1,1.2736917,9.992334971523657e-31,6.255447405328847e-29,Fib7
MT-CO1,0.31765693,1.4532886463408157e-30,9.060809825655494e-29,Fib7
NCAM1,3.516127,3.471010678608302e-30,2.1552718746236505e-28,Fib7
IER2,1.2994502,3.5025364127455256e-30,2.1660422552505224e-28,Fib7
CPNE5,5.2313766,4.553795658445878e-30,2.77128401126537e-28,Fib7
CLEC14A,2.8859031,5.572703053640902e-30,3.377898378744634e-28,Fib7
FAM3C,1.1400596,6.444267086931497e-29,3.81535580437514e-27,Fib7
CNTN1,1.7053533,1.0961726023854194e-28,6.464878958083893e-27,Fib7
MT1X,1.1609833,5.598748638689895e-28,3.2272032247542695e-26,Fib7
RPL39,1.2480668,1.158835904695772e-27,6.629669829298845e-26,Fib7
PCOLCE,0.5104625,4.39119435374955e-27,2.4751104706097554e-25,Fib7
PCDH7,2.9694297,8.823460616431644e-27,4.936936297289134e-25,Fib7
RPL15,0.2351798,1.0803103048742791e-26,6.022532812757159e-25,Fib7
CCNI,0.48534873,3.064044470221534e-26,1.6655971274958692e-24,Fib7
SEPT11,0.8115719,5.683970059184705e-26,3.067937902969836e-24,Fib7
TSHZ3,2.0573156,1.1437986460963926e-25,6.108924587105733e-24,Fib7
TRIB2,2.92205,1.5308410973662294e-25,8.147595039118173e-24,Fib7
COL24A1,3.9284146,1.5388367353995013e-25,8.161712199037285e-24,Fib7
AKAP9,1.2845414,4.0442700475072454e-25,2.115624143002506e-23,Fib7
RPL7,0.9817808,5.082222749326354e-25,2.64952056300205e-23,Fib7
PDGFD,1.1287396,1.511151003572308e-24,7.798253912015879e-23,Fib7
LGALS1,0.36026317,2.9521812030489203e-24,1.5081795276445572e-22,Fib7
SERTAD4-AS1,2.3655746,4.341950843365429e-24,2.2107766377468976e-22,Fib7
DNM3OS,2.1207113,4.559916123464936e-24,2.3140438134859435e-22,Fib7
PTGFR,1.261884,5.378685776055633e-24,2.711532185783821e-22,Fib7
H3F3A,0.9676732,9.363514624320375e-24,4.674107381911559e-22,Fib7
DAAM2,1.9771904,2.0142166116972407e-23,9.92488991731463e-22,Fib7
H1F0,1.2414403,2.312179375540247e-23,1.1356443717484653e-21,Fib7
RPL3,1.0100441,2.3102804255719096e-22,1.1062549686711887e-20,Fib7
MFGE8,1.020046,3.432696388446436e-22,1.6385761666724782e-20,Fib7
DST,0.8342986,4.273842808498494e-22,2.0274207732861642e-20,Fib7
PTPRK,2.0500276,6.489764519570013e-22,3.06907594540037e-20,Fib7
VAMP2,1.0378356,7.205906966345142e-22,3.397229287374137e-20,Fib7
PXDNL,5.0739474,1.4547071961174567e-21,6.774589152650656e-20,Fib7
NUCKS1,0.53172714,1.460892216487288e-21,6.782713862262409e-20,Fib7
ENPP2,1.1825143,1.735518490813494e-21,8.033346953689734e-20,Fib7
RPL22,0.33489838,3.889449775724189e-21,1.7787827941373348e-19,Fib7
SBDS,0.72884566,4.8759187321258645e-21,2.223273392036495e-19,Fib7
RPS28,0.52945065,5.226010156106465e-21,2.375812652813281e-19,Fib7
MRPS6,0.7200276,6.520720497227643e-21,2.9468640708624923e-19,Fib7
GAP43,4.145922,7.176311471013175e-21,3.2335739740332226e-19,Fib7
MDK,0.9934521,8.078742220098063e-21,3.6294937474117035e-19,Fib7
RPS3A,0.46143523,8.74815011315014e-21,3.907251256677438e-19,Fib7
JUN,1.0465939,1.8060939471429587e-20,7.927610644427786e-19,Fib7
ID3,0.89346796,2.83548111470231e-20,1.23395937399082e-18,Fib7
REEP5,0.68676066,3.64694531274433e-20,1.5781045227243525e-18,Fib7
GLUL,0.5802999,4.033857654318923e-20,1.7405981827604958e-18,Fib7
PTK7,1.8028985,4.698509285979276e-20,2.0047410431098724e-18,Fib7
HNRNPA1,0.5016067,1.3771868674597348e-19,5.84348038901318e-18,Fib7
ZC2HC1C,4.148643,1.6175230112227667e-19,6.844228253858106e-18,Fib7
LUZP1,1.5372275,2.8481169548481873e-19,1.1951919364095072e-17,Fib7
CCK,7.6821957,3.6260396826768175e-19,1.513326670843945e-17,Fib7
DIRAS3,2.8110812,3.733626534696009e-19,1.553982161239279e-17,Fib7
RPS27,0.5522529,5.003371304753428e-19,2.0768069750029512e-17,Fib7
HSPA1B,1.0017384,6.248928272637317e-19,2.579794036879325e-17,Fib7
TTC3,0.67455566,9.225735234619752e-19,3.788255529806901e-17,Fib7
CRYBG3,1.6504077,9.271784876703838e-19,3.7969574796689313e-17,Fib7
SDC1,2.6349633,9.657398158024103e-19,3.933780183035152e-17,Fib7
TCEAL2,4.0034513,9.936346307224973e-19,4.036640687310145e-17,Fib7
NAP1L1,0.5378656,2.479194803298726e-18,9.913534193818858e-17,Fib7
NFATC2,2.681121,2.8492326596694387e-18,1.1333861686575698e-16,Fib7
CADM2,5.924256,3.3362085408342682e-18,1.3236515704219076e-16,Fib7
EEF1A1,0.60379475,4.0050329960277456e-18,1.5848932387130522e-16,Fib7
HPSE2,2.5427673,4.531364786937791e-18,1.7885425612525778e-16,Fib7
DEGS1,1.2710569,4.8070153687443044e-18,1.8924525710713725e-16,Fib7
SMAD1,2.5758998,9.611312273872761e-18,3.7452243618215927e-16,Fib7
RPL21,0.71770895,1.053263749049584e-17,4.0937923070565896e-16,Fib7
ITM2C,1.1706064,1.1312505757798038e-17,4.3857493769128185e-16,Fib7
ITGA11,1.6518708,1.3937758079831166e-17,5.362701628952671e-16,Fib7
MEGF6,1.3137505,1.562051264268777e-17,5.967189337827519e-16,Fib7
RPL35A,0.17954308,1.7688320280522424e-17,6.737882600622943e-16,Fib7
PRKCB,5.5501556,2.4839974827992148e-17,9.34558166250197e-16,Fib7
HNRNPA3,0.72502154,3.0024227092691044e-17,1.1268306359726185e-15,Fib7
HMGN2,0.84399194,7.630519293158614e-17,2.7951122830455113e-15,Fib7
PTPRD,4.0295916,7.96003382785967e-17,2.908840112931973e-15,Fib7
CCDC68,5.559043,8.192878931329883e-17,2.986783429023006e-15,Fib7
IRS2,1.8944333,1.3619930400936369e-16,4.90670841684677e-15,Fib7
BTG1,0.73847944,1.5013739120547744e-16,5.383447536769174e-15,Fib7
PRDX2,0.73505634,2.8274572724912413e-16,9.95147692103772e-15,Fib7
BMP4,1.5231051,4.133146886201214e-16,1.4414113855416333e-14,Fib7
MEG3,1.026044,5.017023227164917e-16,1.7377557776631317e-14,Fib7
IMPAD1,1.3296422,5.804216361050906e-16,2.0058688894808277e-14,Fib7
MMP19,1.541085,6.908196653433494e-16,2.382002344948005e-14,Fib7
JUNB,0.8476298,9.451105096104309e-16,3.2224471058703864e-14,Fib7
C6orf48,0.51757526,1.1060522811648244e-15,3.754433021065043e-14,Fib7
PTN,0.7215443,2.6761183262572637e-15,8.790904824425742e-14,Fib7
DDX5,0.7564117,2.874112362428294e-15,9.400870735779913e-14,Fib7
PPP1R12A,1.0466994,3.59454760844695e-15,1.168227972745259e-13,Fib7
JMJD1C,0.98860276,5.7335809042250375e-15,1.8476887829543764e-13,Fib7
TRPM3,5.717422,1.0840590010910674e-14,3.4569939961724543e-13,Fib7
RHPN1,6.0267277,1.3948561996879894e-14,4.4388392604654253e-13,Fib7
NRP2,2.3278797,1.407817409378463e-14,4.4707715027559293e-13,Fib7
SLC44A1,0.77104735,1.6749441226932056e-14,5.297054135432446e-13,Fib7
ANTXR2,0.9218592,2.1677796609053862e-14,6.813340395129584e-13,Fib7
S1PR1,3.3888044,2.9705395768544395e-14,9.260202456418686e-13,Fib7
EMB,4.3330026,3.5199735299958927e-14,1.0950630482828364e-12,Fib7
JAM2,1.2571375,3.624754585430374e-14,1.1230857260131635e-12,Fib7
SRP14,0.29996306,4.539954153061371e-14,1.398141122742186e-12,Fib7
MMP23B,1.2046875,5.988505386843063e-14,1.8331547050907373e-12,Fib7
COL11A1,1.0008596,1.0044218329484399e-13,3.0261427018318385e-12,Fib7
TPBG,1.1569037,1.0582102206755934e-13,3.1819214804763164e-12,Fib7
CTNNB1,1.2420862,1.3285792713356635e-13,3.987042901699854e-12,Fib7
RPS4X,0.17259243,1.630747139614607e-13,4.865168468283813e-12,Fib7
ASIP,1.6869471,2.1447627196007304e-13,6.373784152120848e-12,Fib7
GPC1,1.7763224,2.911153340835145e-13,8.567989842246019e-12,Fib7
TSC22D3,0.48562667,3.318952020847159e-13,9.749421561238529e-12,Fib7
RHOJ,1.4554808,3.519738064894581e-13,1.02996166554147e-11,Fib7
CERS2,0.8386007,6.691280436480555e-13,1.928477522023405e-11,Fib7
SRSF5,0.6878141,7.833677425897927e-13,2.2534731201617858e-11,Fib7
RPSA,0.66799134,9.188637209578399e-13,2.6333289564035657e-11,Fib7
NRN1,1.0069616,1.982823670168176e-12,5.6088206595960905e-11,Fib7
OAZ1,0.3230887,2.319769887067582e-12,6.525687849900058e-11,Fib7
SFRP2,3.4891782,0.0,0.0,Fib8
DCN,1.0096315,0.0,0.0,Fib8
PTGDS,2.6684434,3.1567027451897388e-248,1.6072878144257755e-244,Fib8
FBLN1,1.7000993,2.0522592169325928e-247,7.837064884661338e-244,Fib8
WISP2,2.1068168,1.3422265644056992e-227,4.1005021542594106e-224,Fib8
CXCL14,1.5018197,7.374325891074387e-186,1.877380466436021e-182,Fib8
C1R,1.2592407,1.7646549629266225e-161,3.850729222672023e-158,Fib8
PI16,1.7010157,5.038255463750718e-126,9.619919026099027e-123,Fib8
CST3,0.9863457,2.1754537123459427e-114,3.692228384009364e-111,Fib8
FHL1,1.3318653,2.3393937827054146e-106,3.5734240030825207e-103,Fib8
MMP2,1.1370873,2.165220355584793e-104,3.0067037210507014e-101,Fib8
ADH1B,1.4486008,9.803976131754524e-102,1.2479644617712529e-98,Fib8
COL1A2,0.9306085,2.7561549535980007e-99,3.238482070477651e-96,Fib8
SVEP1,1.6610057,7.805535884404965e-97,8.516397188163274e-94,Fib8
ELN,1.5548064,1.4250419187020716e-92,1.4511676872116096e-89,Fib8
CPE,1.3388311,1.1742376404729333e-91,1.1210299973890035e-88,Fib8
PAM,1.2503239,5.199427098250595e-90,4.671838172104579e-87,Fib8
SMOC2,1.5765008,9.295468408428116e-86,7.888237774374415e-83,Fib8
AEBP1,1.1359587,5.5615177162032274e-83,4.471167532368647e-80,Fib8
CTSK,0.9463856,1.2200198716961778e-82,9.317901770079557e-80,Fib8
MFAP4,0.9977533,4.8255947816197e-81,3.5100457280590912e-78,Fib8
CFD,1.123653,5.095507582220278e-81,3.537903559927943e-78,Fib8
ITIH5,1.5191882,2.973785621225838e-79,1.9749815375749858e-76,Fib8
SOD3,0.99182343,2.7052787178541565e-77,1.7217971839675935e-74,Fib8
MGP,1.1909939,4.16135728193126e-76,2.5425892992599996e-73,Fib8
LTBP1,1.4533463,1.2799625267726476e-75,7.260254637160415e-73,Fib8
FKBP9,1.2182267,1.2833183319367018e-75,7.260254637160415e-73,Fib8
OSR2,1.4861969,2.2425806519602157e-74,1.223407837810439e-71,Fib8
LOX,1.2029554,5.059726921178269e-74,2.6650803007240713e-71,Fib8
THBS2,1.1322212,4.8132672603448277e-70,2.450755246725575e-67,Fib8
COL14A1,1.2867476,1.4702186466177973e-69,7.244383815189308e-67,Fib8
FBN1,1.1113964,1.856770290455942e-68,8.863176933348286e-66,Fib8
SPARC,0.89054346,5.658933761407509e-66,2.6194004001666577e-63,Fib8
OLFML3,1.0347929,1.9413656516338656e-65,8.721870684913911e-63,Fib8
ADIRF,1.0331556,6.046235571915687e-64,2.6387499531717748e-61,Fib8
COL1A1,0.9949714,3.18748337199652e-63,1.352466902979079e-60,Fib8
B2M,0.6088568,1.750798909742079e-62,7.227960363867637e-60,Fib8
CXCL12,1.0541531,6.089015611927e-62,2.4476240387417086e-59,Fib8
TGFBI,1.4431219,3.327218764914801e-61,1.3031606829249637e-58,Fib8
HLA-A,0.8848177,3.12224992501414e-60,1.1923091901147745e-57,Fib8
FBLN2,0.9522213,6.673938340959523e-58,2.4864489794672365e-55,Fib8
SLIT3,0.9360546,2.6356338231902786e-57,9.585549202197978e-55,Fib8
CP,1.440665,3.297405495738216e-56,1.1713457894744476e-53,Fib8
CLEC3B,1.2329617,1.4385899373530683e-55,4.994195748424573e-53,Fib8
SERPINF1,0.8248691,1.0655301427437165e-54,3.542677463362521e-52,Fib8
PLPP3,0.91239417,1.0668619529602354e-54,3.542677463362521e-52,Fib8
FSTL1,0.82515657,3.45775122713845e-54,1.1237691488199964e-51,Fib8
AQP1,1.020208,4.283968323115142e-53,1.3632836694913292e-50,Fib8
CTHRC1,1.1286347,5.88799374924208e-53,1.835491928972914e-50,Fib8
CYBRD1,0.864763,6.477378011288649e-51,1.9027297908160407e-48,Fib8
PODN,1.0539091,9.099256874482789e-51,2.6224745048627285e-48,Fib8
XG,1.044343,2.472926998938049e-49,6.867992710687036e-47,Fib8
COL3A1,0.89334404,2.8025148529513023e-49,7.644359710505562e-47,Fib8
EFEMP1,0.9441692,3.1727403704709197e-49,8.502387571744438e-47,Fib8
MXRA5,1.0089748,1.988474396814098e-48,5.2368873122991975e-46,Fib8
CRYAB,0.98116076,2.9315226320166086e-47,7.46316803400895e-45,Fib8
ANGPTL1,1.2509296,1.553306846924484e-46,3.889633128978934e-44,Fib8
FGL2,1.1611127,2.6780114219967348e-45,6.597842656612923e-43,Fib8
POLR2L,0.9041198,1.2598107036392853e-44,3.0545410314428705e-42,Fib8
FCGRT,0.9256353,3.921208483420917e-44,9.358821810039767e-42,Fib8
ACKR4,1.6088941,5.3909615696937575e-43,1.247680878440487e-40,Fib8
FN1,0.82431674,1.418443241816727e-42,3.1862824292280154e-40,Fib8
TIMP1,0.7340626,2.090589069935769e-42,4.628079426560706e-40,Fib8
COL6A1,0.6456603,2.437638078506672e-42,5.319274521312774e-40,Fib8
TWIST2,0.93921393,4.679277579793256e-42,1.0067037328358025e-39,Fib8
COL5A1,0.9213248,2.569744079370883e-41,5.377101481149347e-39,Fib8
AKR1C3,1.1632379,1.2024473116114382e-40,2.448984357981962e-38,Fib8
PDGFRL,0.9563663,1.6121704044427612e-40,3.240250385245155e-38,Fib8
FTL,0.44160143,3.818731123573541e-40,7.478348450331519e-38,Fib8
LGALS3,0.6853044,5.5418578938855665e-39,1.0581484916137753e-36,Fib8
ISLR,0.7924243,7.638458921780216e-39,1.440462469508553e-36,Fib8
HLA-C,0.736929,1.1653612624365409e-38,2.1708406443558732e-36,Fib8
CD81,0.6601,4.048025413195739e-38,7.449829901995772e-36,Fib8
COMP,1.4521922,4.920075575850919e-38,8.94692314537176e-36,Fib8
GAS1,0.96272826,8.897431751024814e-38,1.5989208234929886e-35,Fib8
CD9,0.79340494,1.3440874866721515e-37,2.387318181269432e-35,Fib8
CLU,0.82608354,5.5016270410431556e-37,9.659465868038413e-35,Fib8
GLDN,1.5113301,5.975846248746577e-37,1.0372846755636815e-34,Fib8
ECM2,0.983979,6.254533126566891e-37,1.073460601216958e-34,Fib8
HLA-B,0.69448775,8.181934705285094e-37,1.388656140258109e-34,Fib8
APLP2,0.79717356,1.2750560190830149e-36,2.140272603460775e-34,Fib8
ABI3BP,0.91136014,5.595538147373527e-36,9.190520989368883e-34,Fib8
BGN,0.84731555,5.860971407510729e-36,9.524078537204934e-34,Fib8
ANGPTL5,1.5127106,9.800743463521488e-36,1.5758563832135865e-33,Fib8
AOX1,1.2848243,1.1849079656114376e-35,1.8853613723661155e-33,Fib8
ITGBL1,0.87553465,3.1043301413009543e-35,4.838637031466539e-33,Fib8
COX6C,0.7124068,1.180215029779417e-34,1.7674298607726075e-32,Fib8
FBLN5,0.76065147,1.2395955860922978e-34,1.8383322890834806e-32,Fib8
QPCT,1.3339834,2.8352749949083955e-34,4.164310148771706e-32,Fib8
IGFBP4,0.7354201,4.793446997029628e-34,6.973324083774054e-32,Fib8
PDGFRB,0.886273,7.742496470111946e-34,1.1157229583109432e-31,Fib8
COL6A2,0.6109739,1.7242664780466676e-33,2.4615112572114812e-31,Fib8
CYB5R3,0.7265939,4.1564647464591664e-33,5.878703611311461e-31,Fib8
SERPINH1,0.80291647,7.171843978142482e-33,1.005045107946114e-30,Fib8
PLAC9,0.69763696,1.3118895123182674e-32,1.8217374818783213e-30,Fib8
PPIC,0.8832066,2.981983400960682e-31,4.0669461115780725e-29,Fib8
C1S,0.6532635,6.298536564835617e-31,8.449824527374369e-29,Fib8
FAM107A,1.8035215,6.306252020429971e-31,8.449824527374369e-29,Fib8
REV3L,1.0509224,6.861404468441883e-31,9.113735065691284e-29,Fib8
WIF1,2.0489976,3.756642166320521e-30,4.946785266426375e-28,Fib8
CFH,0.75293463,9.925161753399458e-30,1.2848037778235314e-27,Fib8
NUCB2,0.8829574,7.222350777577134e-29,9.117471746073614e-27,Fib8
ID2,0.8255005,3.2407375029797657e-28,3.9801493764029945e-26,Fib8
CCDC80,0.6932177,3.2570780494296193e-28,3.9801493764029945e-26,Fib8
NNMT,0.70621604,4.698105979035937e-28,5.695521335696343e-26,Fib8
GAS6,0.8924564,6.777287891474485e-28,8.151423034824626e-26,Fib8
SELENOP,0.6490218,7.578344482780246e-28,9.043688435505331e-26,Fib8
APCDD1,0.75669724,2.9189021333181332e-27,3.4562969059251538e-25,Fib8
C1orf21,1.0907713,4.4226262847870684e-27,5.156917290085685e-25,Fib8
SCARA5,0.74454814,1.5270645014837173e-26,1.7671144136487714e-24,Fib8
BASP1,0.9596261,1.8129773304442077e-26,2.0666588598906922e-24,Fib8
CPQ,0.82979506,2.699587147675672e-26,3.0545328652404363e-24,Fib8
ARL6IP5,0.64605063,3.6707435023999603e-26,4.122838749938191e-24,Fib8
RECK,1.1153024,4.437720622334317e-26,4.947896533296109e-24,Fib8
NPC2,0.6551061,7.778888490637647e-26,8.54838285571871e-24,Fib8
CD248,0.68948746,1.9497825793855205e-25,2.1122644610009803e-23,Fib8
PTN,0.96566075,2.4187174281944923e-25,2.6018245574416104e-23,Fib8
MRC2,0.98216677,2.6224876047339603e-25,2.801293577784003e-23,Fib8
APOD,0.8050845,3.467805848303431e-25,3.67852321755798e-23,Fib8
PROS1,0.8702907,7.305968784318858e-25,7.643744738388394e-23,Fib8
PSAP,0.5407762,1.1316001799330074e-24,1.1679184289511276e-22,Fib8
NBL1,0.75763273,1.5378415484904164e-24,1.5765456143081282e-22,Fib8
HEXB,0.7504637,1.7143001763505834e-24,1.7457290129170108e-22,Fib8
OMD,0.79912007,3.378003978180428e-24,3.4171530309076848e-22,Fib8
RPS27L,0.66332626,4.897189723405596e-24,4.921353488488189e-22,Fib8
GREM1,1.91077,5.9982360462088865e-24,5.949549065314334e-22,Fib8
LUM,0.6466656,6.986480401934379e-24,6.885063750938557e-22,Fib8
C1orf198,0.9184032,1.0006607545562622e-23,9.798136555030068e-22,Fib8
CYR61,0.7024856,2.2356950926736268e-23,2.1751746841139904e-21,Fib8
LAMP1,0.63019276,4.2089587533377066e-23,4.069104111217308e-21,Fib8
CERCAM,0.95513135,1.224359277441851e-22,1.1616203703679673e-20,Fib8
DPYSL2,0.648705,1.5422427312797748e-22,1.4541825753270716e-20,Fib8
AGTR1,1.077254,2.7970712848354347e-22,2.621181832874924e-20,Fib8
PRRX2,0.8846854,4.423863870317399e-22,4.095425492066562e-20,Fib8
IGSF10,1.2624501,5.718634487533719e-22,5.2621772166914194e-20,Fib8
GPNMB,0.5901481,1.988246830131825e-21,1.776050896506645e-19,Fib8
CD63,0.4207524,3.640422297135546e-21,3.1775686050711695e-19,Fib8
PMP22,0.56230795,3.8181309021698956e-21,3.3137471324230204e-19,Fib8
CORIN,1.7650787,5.7241525759515415e-21,4.912159022340439e-19,Fib8
CD44,0.56438404,6.153444492498355e-21,5.251053889548177e-19,Fib8
S100A6,0.35083562,8.874686008832459e-21,7.531157154717545e-19,Fib8
PRCP,0.8532269,2.4213743325201748e-20,2.021119832199217e-18,Fib8
FST,0.94697315,2.5141697711972434e-20,2.087170829078146e-18,Fib8
CADM3,1.4650351,3.265919916608601e-20,2.696590633848453e-18,Fib8
TGFBR3,0.6314992,5.507280068094608e-20,4.498593745462307e-18,Fib8
ADM,1.0363649,1.112008124753685e-19,8.987261431541026e-18,Fib8
GJA1,0.7420619,1.5213773172368558e-19,1.2167035874760718e-17,Fib8
PLD3,0.70967317,1.9851088237009084e-19,1.571115921348776e-17,Fib8
HEXA,0.81765217,2.9808682624222733e-19,2.3470496241494963e-17,Fib8
RGCC,0.8789951,3.583078310224291e-19,2.8067446763423615e-17,Fib8
TSPAN4,0.76705587,4.428567901418221e-19,3.4513456476613945e-17,Fib8
CRISPLD2,0.7207515,6.092849066743563e-19,4.7242776393151233e-17,Fib8
METTL7A,0.6994415,7.930272504729795e-19,6.117924874229678e-17,Fib8
FYN,0.8236613,1.8996252304492722e-18,1.4581294168398306e-16,Fib8
CYB5A,0.63330156,3.1914430398911468e-18,2.437464621716863e-16,Fib8
GALNT16,1.1440284,6.448471848700654e-18,4.900517785517537e-16,Fib8
MYADM,0.5829609,8.803799811719496e-18,6.624534094779079e-16,Fib8
EMX2,1.0540489,9.49346802019474e-18,7.108466863160522e-16,Fib8
ADGRA2,0.91792446,2.155023823709594e-17,1.590241010007925e-15,Fib8
YBX3,0.5379683,2.3475635343707222e-17,1.7239919705534992e-15,Fib8
NUCB1,0.584235,2.713986400007097e-17,1.9835474765602108e-15,Fib8
IL6ST,0.5488267,3.5861225339013825e-17,2.6084772240639817e-15,Fib8
STEAP4,1.2583965,4.010412005840627e-17,2.8895775183592253e-15,Fib8
PDIA3,0.5222818,6.783698764793259e-17,4.864835616536011e-15,Fib8
OLFML1,0.6375537,6.869097629326114e-17,4.903059172334411e-15,Fib8
ATRAID,0.55040324,8.974223290477433e-17,6.375872593583386e-15,Fib8
SGCG,1.8916099,1.1484269319397757e-16,8.121398789527813e-15,Fib8
OS9,0.53182614,1.917156142124691e-16,1.3495188972790162e-14,Fib8
VGLL3,1.0835139,2.043031357930225e-16,1.431527706072669e-14,Fib8
RNH1,0.5622905,2.46035139997467e-16,1.7160670152791363e-14,Fib8
LY6E,0.5582677,3.081179081287642e-16,2.1393186575758514e-14,Fib8
GREM2,1.5332835,3.155979857808354e-16,2.1813390193675386e-14,Fib8
ADAM33,1.034126,3.8715013353442173e-16,2.663837067449681e-14,Fib8
MEGF6,1.0456153,5.237023946154594e-16,3.565051878574571e-14,Fib8
ATP6V0E1,0.5263134,5.9481189537274935e-16,4.020244115849003e-14,Fib8
PLTP,0.56265485,6.066698115855233e-16,4.0823265955809996e-14,Fib8
NOV,1.2112101,6.270482129298701e-16,4.182603254368456e-14,Fib8
SSR4,0.5153282,9.432810863893203e-16,6.264616780259508e-14,Fib8
HSPA5,0.49595422,9.718062756330644e-16,6.426121584543316e-14,Fib8
PPIB,0.57166415,1.1671538020415824e-15,7.651619882482906e-14,Fib8
GUSB,0.850166,1.357929137177534e-15,8.826539391653971e-14,Fib8
FTO,0.93670714,1.4539791500629031e-15,9.41081843949612e-14,Fib8
GRN,0.6184866,1.4770496322868564e-15,9.51980300978132e-14,Fib8
LHFPL6,0.48854375,1.702716382723047e-15,1.0882423743135791e-13,Fib8
