gene,log fold change,p-value,adjusted p-value,cluster
EIF3F,0.8011667,3.0386052909381033e-74,2.4300887863392423e-72,Fib5
GPX3,1.0037394,9.89623181732999e-74,7.873174010922688e-72,Fib5
ABCA8,1.1094965,1.8161618698564863e-73,1.4374027234226855e-71,Fib5
ADH1B,0.8258653,1.849538405596945e-72,1.4488050843842737e-70,Fib5
RPL26,0.47838867,3.5367604018004235e-72,2.7563273029337486e-70,Fib5
LSP1,1.1248313,8.961895221055551e-72,6.948880685361602e-70,Fib5
BTG2,1.8844388,1.3668306293227992e-71,1.0544615082275635e-69,Fib5
RPS12,0.48439088,8.09703732310413e-71,6.215188196503295e-69,Fib5
RPS25,0.56738365,9.847117698825634e-71,7.520736142478078e-69,Fib5
ZFAS1,0.7420536,1.675766442326225e-70,1.2734991247031387e-68,Fib5
C1S,0.7081251,4.276111437963117e-70,3.2176158726545127e-68,Fib5
HNRNPA0,0.89390314,6.347549920016037e-70,4.75288357981593e-68,Fib5
SRPX,0.84020925,1.2098428460856174e-68,9.014804621442833e-67,Fib5
SRI,0.8326495,1.5206132026618219e-68,1.1275420713912296e-66,Fib5
GGT5,1.3304,1.5581206365142634e-68,1.149772595302192e-66,Fib5
RPL5,0.53812706,5.192385188966801e-68,3.813157873147494e-66,Fib5
OAZ1,0.7204001,1.3603158785154673e-67,9.894678592535125e-66,Fib5
SPCS2,0.90384525,2.420763794644113e-67,1.752472367923641e-65,Fib5
RPL22,0.6700343,4.126818713379181e-67,2.9594908848294362e-65,Fib5
CYBA,0.974427,7.187649432199994e-67,5.130436685834342e-65,Fib5
FKBP8,1.1095285,2.104894902079623e-66,1.4954544013612206e-64,Fib5
RPS7,0.6008464,2.288494219518742e-65,1.6183680186642956e-63,Fib5
MCL1,1.1963081,2.3797492622008327e-65,1.6751460820330744e-63,Fib5
MGST1,0.9009454,4.301605152086208e-65,3.0140834265191203e-63,Fib5
SNHG8,0.79887456,4.448636616464109e-65,3.102873256460697e-63,Fib5
ZFP36L1,0.71176916,1.8898786925323658e-64,1.312177137655995e-62,Fib5
UBXN1,0.8938484,5.469048114266046e-64,3.780077373095649e-62,Fib5
MEG3,1.2283727,3.948521278213215e-63,2.7168316452570656e-61,Fib5
SERPINF1,0.675785,4.968585893936217e-63,3.403369934075144e-61,Fib5
HSPB1,0.7260516,5.687073141284417e-63,3.878126885407119e-61,Fib5
RHOC,1.3061686,1.9750311058155293e-62,1.3408266729480982e-60,Fib5
RPL35A,0.5132733,7.533172252792427e-62,5.069128024731469e-60,Fib5
CLK1,1.3736755,1.705175614844778e-61,1.1423928735418414e-59,Fib5
HNRNPDL,0.7839727,1.784107639816115e-61,1.1900543317987403e-59,Fib5
SNX3,0.709353,3.0875826125534165e-61,2.0505575829023236e-59,Fib5
EIF3K,0.69984293,4.860103011098847e-61,3.2137694153478305e-59,Fib5
CYB5A,0.8102734,9.872364309844534e-61,6.500015725554968e-59,Fib5
COMMD6,0.71703976,1.7260118737439386e-60,1.1315378271003718e-58,Fib5
GPX4,0.6798034,2.244021958103659e-60,1.4648476670954442e-58,Fib5
CLU,0.77971536,3.575204250304824e-60,2.3238827626981354e-58,Fib5
SFRP2,3.816576,0.0,0.0,Fib6
APCDD1,4.0830884,0.0,0.0,Fib6
COL6A1,1.8607945,0.0,0.0,Fib6
PTGDS,3.566239,0.0,0.0,Fib6
COL18A1,3.8492215,0.0,0.0,Fib6
CD9,2.1945574,0.0,0.0,Fib6
COMP,3.6240325,0.0,0.0,Fib6
COL6A2,1.5853212,0.0,0.0,Fib6
TGFBI,2.8119533,0.0,0.0,Fib6
LGALS1,1.3256084,1.6381981064121693e-293,1.7873911482461347e-290,Fib6
GAPDH,1.289401,1.3895875907521095e-269,1.4150633632492317e-266,Fib6
NBL1,2.1225398,9.824513341642616e-256,9.379340080849435e-253,Fib6
TWIST2,1.9157901,7.341924680262171e-233,6.596935264176746e-230,Fib6
WIF1,4.18792,1.1659402863608314e-227,9.373546249558789e-225,Fib6
NKD2,3.7170832,1.0015443936492076e-223,7.285043149043641e-221,Fib6
COL1A1,1.4596235,2.752789079050424e-196,1.6172635839421242e-193,Fib6
C1orf198,2.1982563,1.3441330486437964e-193,7.604308265938516e-191,Fib6
F13A1,2.5687296,1.652525989746901e-182,9.015119461922825e-180,Fib6
RGCC,2.5385811,1.669539528939011e-178,8.79386769122186e-176,Fib6
STC2,3.8812492,1.230098743529105e-171,6.061212357228089e-169,Fib6
IGFBP4,1.3603641,6.984054563275974e-166,3.2327707107285e-163,Fib6
B2M,0.78743404,6.560774413455578e-162,2.947524387221587e-159,Fib6
MALAT1,2.2709355,2.575722515299286e-159,1.0928933728110163e-156,Fib6
CLEC11A,2.0855002,6.495357959124347e-150,2.544015200657036e-147,Fib6
CTSD,1.8155863,4.225625221820644e-149,1.6136606315827583e-146,Fib6
COL3A1,1.266278,3.0984158290903173e-143,1.1268643283179667e-140,Fib6
DUSP1,1.8810954,4.365439031483372e-140,1.5507460745560119e-137,Fib6
PERP,2.0943089,1.951043932810603e-136,6.62271023859599e-134,Fib6
RPL7,2.0100553,9.539570102799377e-131,3.1677594200056626e-128,Fib6
AQP1,1.4086686,3.525175842582686e-128,1.1456821488393729e-125,Fib6
ADIRF,1.2553378,1.6467935219395406e-127,5.240577301588851e-125,Fib6
