"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"365","FBLN5",0.8405324,6.6936824892749e-74,1.80966371723317e-72,"Fib1",71.742402120887
"366","PCYOX1",1.3263,9.25264255201779e-74,2.49266516723231e-72,"Fib1",71.6033360551463
"367","GALNT12",2.9926357,3.61008186057841e-73,9.67438603865531e-72,"Fib1",71.014376586876
"368","FAM129A",1.3314031,1.77535469021125e-73,4.77439135439732e-72,"Fib1",71.3210819849754
"369","NINJ2",2.9234123,3.812481463903e-73,1.01988886797055e-71,"Fib1",70.9914471484897
"370","GFRA1",1.0367041,1.0377367773566e-72,2.76157304427214e-71,"Fib1",70.5588434650947
"371","KDSR",1.1776574,1.14793742857911e-72,3.0495207341819e-71,"Fib1",70.5157684094582
"372","SWAP70",1.5192218,2.2461219139561e-72,5.94618929561169e-71,"Fib1",70.2257612692429
"373","GYPC",1.2501369,2.81896316109059e-72,7.44976856153267e-71,"Fib1",70.1278572190652
"374","NR3C1",1.1251643,4.34137097885208e-72,1.14532714511167e-70,"Fib1",69.9410704460545
"375","RCAN2",2.1112118,8.88747718952721e-72,2.33659576712613e-70,"Fib1",69.6314164143905
"376","CNKSR2",3.7397077,3.18473434350686e-71,8.34422248663247e-70,"Fib1",69.0786141245925
"377","NTN4",2.1240144,2.85372949210277e-71,7.48981408795015e-70,"Fib1",69.1255289622177
"378","DLGAP4",1.3399099,3.98045235861164e-71,1.04112003044166e-69,"Fib1",68.9824991979117
"379","EHD4",1.9599062,6.6849528880167e-71,1.7425367809634e-69,"Fib1",68.7588180461706
"380","SEMA3B",2.9804478,2.51524941301074e-70,6.52299402100833e-69,"Fib1",68.1855530195527
"381","IL15RA",2.0396056,1.65917935822392e-70,4.31754083421982e-69,"Fib1",68.3647635462927
"382","SQOR",1.7480829,1.87336796683212e-70,4.86661491383684e-69,"Fib1",68.3127730173095
"383","AFAP1L1",3.2385812,4.19542805060579e-70,1.08618921140684e-68,"Fib1",67.9640945151594
"384","PLA2G16",1.9205742,5.27572561945278e-70,1.36356529335264e-68,"Fib1",67.8653240613426
"385","ATOH8",2.5386558,1.43005671796809e-69,3.68366211921797e-68,"Fib1",67.4337202119412
"386","KCNJ8",3.8086684,5.58328475276461e-69,1.42378421700299e-67,"Fib1",66.8465558256331
"387","FOXP1",1.8583723,5.0587511050983e-69,1.29651716661706e-67,"Fib1",66.8872217285532
"388","SDK1",2.7741091,8.44317290281214e-69,2.14591457721224e-67,"Fib1",66.6683875700605
"389","LVRN",4.2755723,1.42188191791267e-68,3.6078482219462e-67,"Fib1",66.4427517410186
"390","IGFBP3",1.4470791,5.25172433156232e-69,1.34372008650945e-67,"Fib1",66.8716911907652
"391","TMBIM6",0.76161563,7.91392624834681e-69,2.01475372405829e-67,"Fib1",66.6957780328078
"392","TMEM43",0.9289994,1.86567136327476e-68,4.71823345596391e-67,"Fib1",66.3262205742328
"393","JAZF1",1.8216636,2.37665873146435e-68,5.99067031734618e-67,"Fib1",66.2225245801421
"394","CAMK1D",1.3981668,4.72290787430444e-68,1.18850770642505e-66,"Fib1",65.9249979979097
"395","HLA-E",0.7687107,8.09155895386238e-68,2.02953305451967e-66,"Fib1",65.6926038710387
"396","ATP6V0E1",0.8731734,9.06820064733076e-68,2.26705016183269e-66,"Fib1",65.6445388703604
"397","GAS1",0.95924,1.29630287324794e-67,3.23546182824547e-66,"Fib1",65.4900637195878
"398","GRN",0.95955116,1.71835166974501e-67,4.28186325535971e-66,"Fib1",65.3683672063529
"399","CFB",1.9429885,3.42638552006244e-67,8.52411055683285e-66,"Fib1",65.0693509261668
"400","PLP2",0.9388048,7.35072878133112e-67,1.82276594374729e-65,"Fib1",64.7392690942989
"401","SERPINA5",3.8330271,2.37758758342759e-66,5.86714868123691e-65,"Fib1",64.2315729060529
"402","EPHX1",1.048081,1.21153233445422e-66,2.99937705166746e-65,"Fib1",64.5229689356524
"403","RPS27L",0.8346494,1.57378285682627e-66,3.88989209353094e-65,"Fib1",64.4100624459324
"404","GLRB",4.0938683,7.39928553022989e-66,1.80838538358819e-64,"Fib1",63.7427090118416
"405","EEA1",1.1158879,4.93506389756521e-66,1.21585646831143e-64,"Fib1",63.9151176904412
"406","SLFN5",1.4546276,6.35441435255877e-66,1.5605093124652e-64,"Fib1",63.8067336353036
"407","LOX",0.77735925,6.31019470691379e-66,1.55214531639465e-64,"Fib1",63.8090676212518
"408","NFIA",0.9234887,6.65979907823373e-66,1.63288011107576e-64,"Fib1",63.7870457007561
"409","CHPT1",1.4001952,7.54693910484102e-66,1.84152547646081e-64,"Fib1",63.7348222685496
"410","GRINA",1.1195934,1.19781944063119e-65,2.91348598019768e-64,"Fib1",63.5355870674099
"411","HEXA",1.0984185,8.73766496148225e-65,2.11517959249828e-63,"Fib1",62.6746527522985
"412","ALDOA",0.96194226,9.86290522326596e-65,2.38379552666753e-63,"Fib1",62.6227309995394
"413","APOBEC3C",1.672166,1.25637558079491e-64,3.03177519694189e-63,"Fib1",62.5183030043418
"414","CES1",4.1728497,4.59399032748559e-64,1.10335223667205e-62,"Fib1",61.9572858202684
"415","CYP4B1",3.3519795,6.70951925876289e-64,1.60639352159253e-62,"Fib1",61.7941480559932
"416","CALM1",0.72533524,4.91406574269022e-64,1.17837290768592e-62,"Fib1",61.9287172510413
"417","CCPG1",1.1254722,7.47372757267933e-64,1.78656007312483e-62,"Fib1",61.7479823760538
"418","CAPS",2.4330776,2.63355582082647e-63,6.2659758821066e-62,"Fib1",61.2030112810611
"419","ADD3",0.8271858,2.6513911286226e-63,6.29860023168122e-62,"Fib1",61.2007559551816
"420","GLUD1",1.0944422,5.80978007347391e-63,1.37375217681601e-61,"Fib1",60.8620916063949
"421","GREM2",2.4495528,1.6172400691806e-62,3.81813633025249e-61,"Fib1",60.4181485687608
"422","MGAT1",1.0453924,4.19564211840963e-62,9.89019033313381e-61,"Fib1",60.0047953504823
"423","SPAG17",3.484485,1.4186619253586e-61,3.31853918987024e-60,"Fib1",59.4790530492457
"424","MASP1",1.604856,8.28226308610159e-62,1.94633182523387e-60,"Fib1",59.7107831159778
"425","MAN2B2",1.2150902,1.22069735671293e-61,2.85983928278987e-60,"Fib1",59.5436583726607
"426","GDF10",1.7655989,3.29083089768553e-61,7.65105661524299e-60,"Fib1",59.1162785843912
"427","ATL3",0.93117887,3.44206115917831e-61,7.99049911952109e-60,"Fib1",59.0974260920147
"428","MCOLN3",3.5938985,1.20629682139988e-60,2.78762238228188e-59,"Fib1",58.5547660571158
"429","CHL1",2.9962006,1.5399959837352e-60,3.54268654390892e-59,"Fib1",58.4506672722429
"430","CLTB",1.1091673,1.24588763327945e-60,2.87476338343558e-59,"Fib1",58.5413978954951
"431","TMEM109",0.9425418,1.3336441276716e-60,3.07261147061595e-59,"Fib1",58.5124923524789
"432","HEG1",2.115769,2.58865697126214e-60,5.94612559940288e-59,"Fib1",58.2257659214763
"433","SPON2",0.9217283,4.65457057487297e-60,1.06594551021266e-58,"Fib1",57.9722649953271
"434","SH3GL1",1.1155748,9.63418553089129e-60,2.19973369184401e-58,"Fib1",57.6576298933429
"435","NCOA7",1.6837553,1.28759597184201e-59,2.93552663729651e-58,"Fib1",57.5323139744318
"436","NPR2",1.6270913,1.03450990944002e-58,2.34453098912408e-57,"Fib1",56.629944022547
"437","GYG1",1.4940978,1.72232047866242e-58,3.8975474535657e-57,"Fib1",56.4092085884685
"438","MAP1A",0.9293111,4.67418271171943e-58,1.05306992509608e-56,"Fib1",55.9775427901867
"439","RAB32",1.3325238,5.4763624480805e-58,1.23197991744374e-56,"Fib1",55.9093963715664
"440","MT-CYB",0.30474314,6.9312561787234e-58,1.55698438426471e-56,"Fib1",55.8077157431555
"441","SNX21",1.3758773,2.72011460394428e-57,6.05681495266018e-56,"Fib1",55.2177556946653
"442","TSHZ2",2.126961,3.97609833351071e-57,8.84059709525125e-56,"Fib1",55.053518401682
"443","CCBE1",1.643707,4.38241539337455e-57,9.72985394386574e-56,"Fib1",55.0118936789351
"444","VEGFB",1.0318682,1.98062999051128e-56,4.35938373271756e-55,"Fib1",54.3605749007307
"445","SESTD1",1.1872919,2.83577974176768e-56,6.23259504395701e-55,"Fib1",54.2053310900001
"446","RBPMS",1.4604443,3.60905888860419e-56,7.92074346600992e-55,"Fib1",54.1012340522449
"447","IL17D",1.4917046,4.14445587903035e-56,9.06970824529922e-55,"Fib1",54.0424066831157
"448","PLS3",0.8967246,4.08913152725014e-56,8.9614754775819e-55,"Fib1",54.0476204792869
"449","HUNK",2.734872,6.40071226076267e-56,1.39473437636448e-54,"Fib1",53.8555084948014
"450","FAXDC2",1.1796972,9.5166438893527e-56,2.07075121666471e-54,"Fib1",53.6838720748003
"451","PLIN2",1.2090386,1.33902980507432e-55,2.90535231143612e-54,"Fib1",53.5368011962736
"452","UBC",0.5578804,1.7368250585363e-55,3.7577907605017e-54,"Fib1",53.4250674057388
"453","DST",0.82097685,2.05996229142274e-55,4.45062574278392e-54,"Fib1",53.3515789244049
"454","GSTO1",0.910455,2.54187614207186e-55,5.48406187431465e-54,"Fib1",53.2608976538968
"455","RTL8C",0.8682199,2.54993995607643e-55,5.49369997589104e-54,"Fib1",53.2601350621293
"456","PGRMC2",0.962012,4.14212714940511e-55,8.89887372815232e-54,"Fib1",53.0506649556697
"457","UGDH",1.1975713,7.6143007826733e-55,1.6335455681929e-53,"Fib1",52.7868687462582
"458","NELL2",3.2798874,1.31261824732106e-54,2.80031336980854e-53,"Fib1",52.5527933660994
"459","PKM",0.7300982,9.96526374422989e-55,2.1349144977996e-53,"Fib1",52.6706195135558
"460","TUBB4B",1.0320725,1.02656340319184e-54,2.19618431145034e-53,"Fib1",52.6583312151842
"461","MYL12B",0.62740105,1.03646402942505e-54,2.21426406286262e-53,"Fib1",52.6547705884231
"462","HRCT1",3.1001124,2.72173595934842e-54,5.78226937121658e-53,"Fib1",52.2379016802703
"463","HOXA10",1.3976078,8.24425063085852e-54,1.73937746390005e-52,"Fib1",51.7596061611254
"464","C1QTNF1",1.5284767,2.61773845906363e-53,5.47752807701328e-52,"Fib1",51.2614153876311
"465","NAV1",1.2255129,2.60118763688011e-53,5.45036229812669e-52,"Fib1",51.26357462821
"466","CAPG",0.99255556,2.6948743793131e-53,5.63121835075344e-52,"Fib1",51.2493976325438
"467","CYB561",1.8878609,3.3589816834526e-53,6.99978788741316e-52,"Fib1",51.1549151200888
"468","SLC48A1",1.7731582,3.70843967978993e-53,7.70699538895119e-52,"Fib1",51.1131149008497
"469","HLA-B",0.62493813,3.62146298438902e-53,7.53649142868423e-52,"Fib1",51.1228307904424
"470","PPP1R12B",2.018857,5.37485119307132e-53,1.11550070617071e-51,"Fib1",50.9525301504488
"471","IL18",4.0560136,1.04257849398201e-52,2.15791144926493e-51,"Fib1",50.6659663807303
"472","VWA5A",1.5846496,7.00319213271088e-53,1.45147571000215e-51,"Fib1",50.8381902275556
"473","LEPR",2.149586,1.38693376929937e-52,2.859030138468e-51,"Fib1",50.5437812665023
"474","EXPH5",2.36888,3.18319714888728e-52,6.53539468403941e-51,"Fib1",50.1847281794798
"475","SLC35F6",1.5594877,2.87861771676231e-52,5.9180195994003e-51,"Fib1",50.227823600869
"476","HAND2",2.210971,5.28691288144932e-52,1.08109229269262e-50,"Fib1",49.9661372288069
"477","FAP",1.0284777,4.28859794507009e-52,8.79306491422089e-51,"Fib1",50.0558597206797
"478","AVPI1",1.851893,5.17429144225758e-52,1.05948125711105e-50,"Fib1",49.9749067218274
"479","AADAC",3.6806033,1.2621573283414e-51,2.56035234932468e-50,"Fib1",49.5917002640485
"480","SNED1",1.3632702,9.54727224172003e-52,1.94705718948296e-50,"Fib1",49.7106212920793
"481","SERF2",0.5832072,1.19434954375942e-51,2.42925290025633e-50,"Fib1",49.6145272700988
"482","SMAD3",1.3854243,1.5450154090379e-51,3.12584243351708e-50,"Fib1",49.5050329175448
"483","CELF2",1.0303123,1.54101071113671e-51,3.12187514756144e-50,"Fib1",49.5055844695662
"484","MINOS1",0.90662366,1.5487354577237e-51,3.1292240895145e-50,"Fib1",49.5045633351105
"485","FABP3",2.3572767,2.17935281414923e-51,4.39176968814374e-50,"Fib1",49.3573604431005
"486","GUSB",1.0748405,2.60919541324884e-51,5.24413946544421e-50,"Fib1",49.2803257669691
"487","DHRS7",0.8865131,3.29605587363599e-51,6.61593343886855e-50,"Fib1",49.1794088727538
"488","BLVRB",1.0677637,4.11113464077919e-51,8.24115244591891e-50,"Fib1",49.0840120521492
"489","GNG11",0.9089796,4.96001814388035e-51,9.92978730639218e-50,"Fib1",49.0030600538862
"490","CTTN",0.9751668,6.14996105210623e-51,1.2295897260592e-49,"Fib1",48.9102397742774
"491","IGF2BP2",4.395683,1.44030496638835e-50,2.86094387016672e-49,"Fib1",48.5434906626827
"492","SMPD1",1.5509475,1.26283547209543e-50,2.51496894866463e-49,"Fib1",48.5994673726386
"493","LMNA",0.6238476,1.15552339494108e-50,2.30727056963725e-49,"Fib1",48.6369014735282
"494","PNRC2",0.95382416,4.67907535088072e-50,9.25814455760402e-49,"Fib1",48.0334760423824
"495","PIEZO2",2.3714354,6.51503937936397e-50,1.27749969858517e-48,"Fib1",47.8936391936612
"496","DSTN",0.6179462,5.12722455624843e-50,1.01317406334663e-48,"Fib1",47.9943159364196
"497","ADAM9",1.4498019,5.72323726772116e-50,1.1294890085845e-48,"Fib1",47.9471179909803
"498","PLD3",0.8294906,1.10299507788451e-49,2.16003202752384e-48,"Fib1",47.6655398093705
"499","DBI",0.78640676,1.32610296520124e-49,2.59362647803443e-48,"Fib1",47.5860925688105
"500","ADCY7",1.8062834,1.90731510683142e-49,3.7256059151982e-48,"Fib1",47.4288030855392
"501","HLA-A",0.5958267,2.43237126979747e-49,4.74514318597143e-48,"Fib1",47.3237506780862
"502","CAP1",0.72715276,3.97202019407552e-49,7.7388531204724e-48,"Fib1",47.1113233959522
"503","EMX2",1.2391486,4.23675422105179e-49,8.24413002886193e-48,"Fib1",47.0838551670175
"504","PAK3",2.824187,6.4098195079574e-49,1.24093780714891e-47,"Fib1",46.9062499837622
"505","PDLIM3",3.563675,7.36476950614602e-49,1.42221054622478e-47,"Fib1",46.8470361052273
"506","EXT1",1.681871,6.30751936156946e-49,1.22423581001237e-47,"Fib1",46.9121349211419
"507","LRMDA",2.042649,6.93523136472888e-49,1.34095771007891e-47,"Fib1",46.8725849183221
"508","RHOQ",1.049296,7.64197272512247e-49,1.47387794666977e-47,"Fib1",46.8315384793552
"509","CAPZB",0.8731958,1.23667977493923e-48,2.38212907467802e-47,"Fib1",46.6230347101489
"510","ITGB5",0.710144,1.32638687453409e-48,2.54849805138469e-47,"Fib1",46.5937156941425
"511","FCGRT",0.73373204,1.86818759029416e-48,3.58049754601546e-47,"Fib1",46.4460566195922
"512","GLUL",0.7302426,2.56036091086073e-48,4.89480762370434e-47,"Fib1",46.3102643722174
"513","ECM2",0.84305775,2.7267294021228e-48,5.20634895217822e-47,"Fib1",46.2834667269439
"514","CTSH",1.4370201,3.09022263461186e-48,5.89302755851388e-47,"Fib1",46.2296615279389
"515","VGLL3",1.1601053,3.11784486385525e-48,5.93828931363952e-47,"Fib1",46.2263386473839
"516","STAT6",1.0588833,3.43493672625483e-48,6.53407951351713e-47,"Fib1",46.1848155848787
"517","NHSL1",2.1027102,8.58317419307878e-48,1.63069634078704e-46,"Fib1",45.7876269033365
"518","IRAK1",1.1930734,9.91790436257818e-48,1.88193775327182e-46,"Fib1",45.725394745339
"519","FAM102A",1.3621486,1.27491262227408e-47,2.41317104154108e-46,"Fib1",45.6174118949313
"520","AR",1.3088008,1.45482365356182e-47,2.75030090447485e-46,"Fib1",45.5606197883501
"521","RNF130",0.94442284,1.77760705131344e-47,3.35221576652011e-46,"Fib1",45.4746680356285
"522","CORO2B",1.8176904,2.0447455652518e-47,3.84175750420926e-46,"Fib1",45.4154700517355
"523","FAM114A1",0.7708978,2.10795407221786e-47,3.95565091561766e-46,"Fib1",45.402782041673
"524","PLEKHA5",1.5454866,2.32887368144329e-47,4.36485220663143e-46,"Fib1",45.3600304568682
"525","TPP1",0.8798923,3.21354453453841e-47,6.00818760894421e-46,"Fib1",45.2212565147094
"526","TPM3",0.78238595,7.18366842493628e-47,1.33981117449208e-45,"Fib1",44.8729564043625
"527","BDH2",0.98141867,7.41457059240757e-47,1.38118982681739e-45,"Fib1",44.8597466291159
"528","MN1",1.893289,9.36930654874316e-47,1.73895695664704e-45,"Fib1",44.7597111676937
"529","LEPROT",0.79772514,1.12517488715943e-46,2.08580660210684e-45,"Fib1",44.6807259622238
"530","SELENOM",0.67620134,1.2795024814269e-46,2.36615016995108e-45,"Fib1",44.6259576959247
"531","PLBD2",0.89835393,1.60269817716011e-46,2.96024361017179e-45,"Fib1",44.5286725476573
"532","AP3S1",0.887076,1.635822644545e-46,3.01777667819142e-45,"Fib1",44.5203129020746
"533","TRIM47",1.1986245,2.60595735965157e-46,4.80168862107089e-45,"Fib1",44.3186060064063
"534","THRB",2.0973861,3.52996851031882e-46,6.4730214880096e-45,"Fib1",44.1888929512845
"535","LTBP1",0.79258054,3.04705082678959e-46,5.60092676043454e-45,"Fib1",44.251740106272
"536","NFIC",0.73490125,3.04674040489117e-46,5.60092676043454e-45,"Fib1",44.251740106272
"537","ESYT2",1.076781,4.07376249379211e-46,7.46123766099215e-45,"Fib1",44.1271891263134
"538","H2AFJ",1.008075,4.13941754532228e-46,7.57240754548477e-45,"Fib1",44.1207660204356
"539","PRRX2",0.920535,4.48376141918419e-46,8.19251862177494e-45,"Fib1",44.0865825627836
"540","TRAM2",1.2847228,5.38444758909503e-46,9.81472994312966e-45,"Fib1",44.0081216457147
"541","TWIST2",0.7394158,5.34114883701455e-46,9.74743709502954e-45,"Fib1",44.0111095588453
"542","CERCAM",0.8925175,6.05464134099449e-46,1.10231998192719e-44,"Fib1",43.9576923199908
"543","CCDC146",1.6626273,8.97070033025248e-46,1.6293394476172e-44,"Fib1",43.7879884277421
"544","PDPN",1.2226222,8.91578982064568e-46,1.62129392274241e-44,"Fib1",43.7901382452047
"545","FBLN7",1.9240245,1.01916019853576e-45,1.84889216539592e-44,"Fib1",43.7330884178507
"546","MPZL1",0.92231625,1.02567321649725e-45,1.8585004011857e-44,"Fib1",43.7308373408191
"547","MAMDC2",1.4473634,1.10958539044444e-45,2.00816550225579e-44,"Fib1",43.6972004978246
"548","CBR1",1.1583267,1.1332777533622e-45,2.04619594357064e-44,"Fib1",43.6890527806254
"549","NIPAL2",1.6786547,2.01177183545801e-45,3.62379891351664e-44,"Fib1",43.4408359095529
"550","ACTG1",0.39406657,2.20624490121424e-45,3.9694217745639e-44,"Fib1",43.4012727522811
"551","PTGFR",1.0336726,2.93119233791911e-45,5.2551599720322e-44,"Fib1",43.2794140591004
"552","EMCN",2.1065288,3.74066352886614e-45,6.69070672171314e-44,"Fib1",43.174528006428
"553","NAMPT",1.3325112,8.18649489440836e-45,1.45914480177465e-43,"Fib1",42.8359016077013
"554","NFIX",0.6604962,8.21283392975223e-45,1.46213331325134e-43,"Fib1",42.8350130278091
"555","OAF",1.0281163,8.30890272840003e-45,1.47579638577105e-43,"Fib1",42.830973557578
"556","TRIO",1.1237848,8.62187107678348e-45,1.52960604759428e-43,"Fib1",42.8154204079971
"557","CD24",2.1347966,1.08168733755143e-44,1.91235811123821e-43,"Fib1",42.7184307777651
"558","ARHGAP20",2.779007,1.31496558527798e-44,2.32209240637239e-43,"Fib1",42.6341205017468
"559","IL4R",2.0857484,1.35413481701348e-44,2.38755679214204e-43,"Fib1",42.6220462891806
"560","DYNLRB1",0.6943248,1.35516316778209e-44,2.38755679214204e-43,"Fib1",42.6220462891806
"561","ATRAID",0.72214746,1.72499529438191e-44,3.03214075048144e-43,"Fib1",42.5182506428359
"562","GNS",0.88866204,1.86005782057982e-44,3.26579117348928e-43,"Fib1",42.486011589073
"563","CDC42EP2",1.8749261,3.65885380086152e-44,6.40928805139446e-43,"Fib1",42.1931902095643
"564","ITGA5",1.2017634,4.65827141705243e-44,8.13201095948295e-43,"Fib1",42.0898020447364
"565","CCNDBP1",1.1425985,6.57407721538568e-44,1.14633595279699e-42,"Fib1",41.940688086501
"566","LY6E",0.71307874,6.96375059824741e-44,1.21151811376115e-42,"Fib1",41.9166700882143
"567","ERRFI1",1.6124009,7.98219872343299e-44,1.38712270193901e-42,"Fib1",41.8578851204566
"568","MGST3",0.59852725,8.01157264847918e-44,1.39064513869909e-42,"Fib1",41.8567836780356
"569","HSPB1",0.61624545,9.40038562499186e-44,1.62986254735245e-42,"Fib1",41.7878490197945
"570","SPTAN1",0.7965216,9.69454285354854e-44,1.67895852707431e-42,"Fib1",41.7749600314887
"571","CALHM2",1.1182793,1.01259635212451e-43,1.75168848003419e-42,"Fib1",41.756543126154
"572","HM13",0.8700124,1.46824482529477e-43,2.53417397812176e-42,"Fib1",41.5961635728999
"573","GAS7",0.8727343,1.58382056904584e-43,2.73057101491819e-42,"Fib1",41.5637465241326
"574","MRGPRF",1.322315,1.77918491769896e-43,3.06392893098665e-42,"Fib1",41.5137213125506
"575","IFITM2",0.5934398,1.85814897500788e-43,3.19630918842853e-42,"Fib1",41.495351216738
"576","CDS1",3.6976094,2.95400005537542e-43,5.06992706133253e-42,"Fib1",41.2949982886131
"577","PLPP1",0.71843135,2.17257838010915e-43,3.73297353837652e-42,"Fib1",41.4279450886105
"578","SLC38A1",3.053003,8.26206626174889e-43,1.41009007986832e-41,"Fib1",40.8507531427062
"579","TMSB4X",0.4301763,6.64536751424945e-43,1.13670760112162e-41,"Fib1",40.9443512358845
"580","STIM1",1.4596473,8.21315361809129e-43,1.40331008407544e-41,"Fib1",40.8528463539729
"581","MANSC1",1.9309343,9.289559852247e-43,1.58191780092612e-41,"Fib1",40.800816086914
"582","LIPC",2.7993648,1.16433833142983e-42,1.97614089028785e-41,"Fib1",40.7041820953287
"583","OPTN",0.7544746,9.96246306984239e-43,1.69461718699156e-41,"Fib1",40.770928393245
"584","NTRK2",0.7147592,1.01076227500106e-42,1.71739641275207e-41,"Fib1",40.7651294485781
"585","CBR3",1.2696918,1.2387681912416e-42,2.10013142299839e-41,"Fib1",40.6777535269341
"586","CNPPD1",1.2297825,1.27706020493236e-42,2.16264907209997e-41,"Fib1",40.6650139467723
"587","SKI",0.9269304,1.58132802651259e-42,2.67494857198004e-41,"Fib1",40.5726845632203
"588","TXN",0.59246325,2.72370783088735e-42,4.59719747147009e-41,"Fib1",40.3375068408379
"589","MARCH2",1.4123511,3.9405893799586e-42,6.63643911564141e-41,"Fib1",40.1780648855786
"590","PTTG1IP",0.7192396,4.61582402381534e-42,7.76505638367614e-41,"Fib1",40.1098553864222
"591","UST",1.502042,5.03281518540466e-42,8.45723343862004e-41,"Fib1",40.0727716817411
"592","AFF1",1.2212672,6.58683430805192e-42,1.1032225225383e-40,"Fib1",39.9573368805212
"593","MVP",1.0296109,7.0280684126697e-42,1.17583510409123e-40,"Fib1",39.9296535782637
"594","NAAA",1.3964847,1.16575693807052e-41,1.94186883631704e-40,"Fib1",39.7117801078922
"595","VKORC1",0.6899762,1.10904045236412e-41,1.84940970631681e-40,"Fib1",39.7329668673795
"596","UBR4",1.1432356,1.22403767555398e-41,2.03672935665436e-40,"Fib1",39.6910666768028
"597","ARHGAP29",1.3507488,2.03197493505947e-41,3.37374099272102e-40,"Fib1",39.4718882619217
"598","RNF19A",1.18752,2.20310311810137e-41,3.65389795103131e-40,"Fib1",39.4372435861359
"599","ABL1",1.0088726,2.77506417986846e-41,4.59751684896863e-40,"Fib1",39.3374766704856
"600","CCDC51",1.8154625,3.76688023253399e-41,6.23392151158793e-40,"Fib1",39.205238670025
"601","EPDR1",2.8833346,4.37500012281314e-41,7.2324812636332e-40,"Fib1",39.1407126827559
"602","FYCO1",1.338692,6.52935736787782e-41,1.0770619200252e-39,"Fib1",38.9677593285012
"603","IL33",2.194604,8.58258679639347e-41,1.41422883834855e-39,"Fib1",38.8494803110547
"604","ZBTB4",0.951216,9.87038675996994e-41,1.62292957759463e-39,"Fib1",38.7897003247367
"605","ARL2",0.8424556,1.28462519455084e-40,2.10996234911442e-39,"Fib1",38.6757252943316
"606","PAPLN",1.5756372,1.73683597248736e-40,2.84658470812708e-39,"Fib1",38.5456758880074
"607","ELMO1",2.867461,2.30217549582222e-40,3.76104071643684e-39,"Fib1",38.4246919649482
"608","GSTM5",0.92956424,1.96410602789539e-40,3.21561838972155e-39,"Fib1",38.4927354963265
"609","MYOC",2.386301,3.56899196282976e-40,5.8243966060069e-39,"Fib1",38.2347490598736
"610","SLC39A14",1.2456491,3.60013159788929e-40,5.86268765008091e-39,"Fib1",38.2319032433659
"611","SLC38A10",1.1222041,6.44935178999121e-40,1.04913576775416e-38,"Fib1",37.9791683064956
"612","LAMP2",0.8127141,6.57913147088536e-40,1.06910886401887e-38,"Fib1",37.9709780696879
"613","KIAA1324L",2.1677554,7.46256055535678e-40,1.21009142763349e-38,"Fib1",37.9171818156202
"614","CRABP2",0.68615156,6.9315211062434e-40,1.12517518488701e-38,"Fib1",37.9487798545245
"615","LASP1",0.76468074,8.44672876180518e-40,1.36677734996371e-38,"Fib1",37.8643022268789
"616","TUBB",0.5191579,8.61986867533205e-40,1.3933173969915e-38,"Fib1",37.8559499402448
"617","PNLIPRP3",6.368284,1.33140353033363e-39,2.14075672903645e-38,"Fib1",37.669432682187
"618","SLC37A3",1.302019,9.91305273865457e-40,1.60065412878381e-38,"Fib1",37.7957025008029
"619","GAA",1.1868325,1.08821497792322e-39,1.75527811908945e-38,"Fib1",37.7556540609553
"620","FTL",0.36209896,1.16639472192496e-39,1.87939655879787e-38,"Fib1",37.7259815726794
"621","DNM1",1.0134397,1.24502901121426e-39,2.00398505229692e-38,"Fib1",37.6981055221906
"622","ROBO3",3.0175347,1.9113452486405e-39,3.06035625502973e-38,"Fib1",37.5142280145028
"623","STXBP6",3.2955008,2.01811043601657e-39,3.22792009530398e-38,"Fib1",37.491077224445
"624","QSOX1",1.155846,1.84700517437009e-39,2.96044113730358e-38,"Fib1",37.5286435696093
"625","STEAP1",1.4268125,2.03963326198056e-39,3.25893285321684e-38,"Fib1",37.4869245876103
"626","DEFB1",4.1616893,2.97349019091675e-39,4.73125652773472e-38,"Fib1",37.3250235039575
"627","LPAR1",0.8701947,2.42388661135985e-39,3.86077872664459e-38,"Fib1",37.4133250884436
"628","SOD2",0.79622227,3.35953089928993e-39,5.33994115365803e-38,"Fib1",37.2724635288858
"629","MBP",1.6329498,3.77454078173777e-39,5.99335867370525e-38,"Fib1",37.2223297310888
"630","CARMIL1",2.1715128,5.52167579290176e-39,8.75842136413026e-38,"Fib1",37.0575741649084
"631","PRIMA1",3.2341597,7.96422071464518e-39,1.2593527061719e-37,"Fib1",36.899852620256
"632","CMTM3",0.7512176,6.98537913809701e-39,1.10571674957961e-37,"Fib1",36.9563561115932
"633","DUSP22",1.3010199,8.46092278360058e-39,1.33651081199068e-37,"Fib1",36.8740275235749
"634","NAGLU",1.4874414,1.56896355000575e-38,2.47071321921008e-37,"Fib1",36.6071776611307
"635","PRRG3",1.3265045,1.81810369513317e-38,2.86009618364152e-37,"Fib1",36.5436193615135
"636","ITGA11",1.1035187,1.82674826177691e-38,2.87073865212369e-37,"Fib1",36.5420063432426
"637","TP53I11",1.8920871,2.05284444824411e-38,3.21942494321651e-37,"Fib1",36.4922216954754
"638","CTNNA1",0.69645536,1.87267871334287e-38,2.93989386909685e-37,"Fib1",36.5316683474442
"639","SVBP",1.0239081,2.24071540971579e-38,3.51045414188807e-37,"Fib1",36.4546366959109
"640","CRYL1",1.0658015,2.41640662418594e-38,3.77795406186697e-37,"Fib1",36.4227433271974
