"","gene","log.fold.change","p.value","adjusted.p.value","cluster","adjusted.p.value_minus_log10"
"160","HPGD",2.2716148,1.65091200259527e-156,1.02929309549562e-154,"Fib1",153.987460940464
"161","UAP1",2.0881684,3.34414403479218e-156,2.0680890741478e-154,"Fib1",153.684430759786
"162","REXO2",1.471872,6.95356404583413e-156,4.28289075806921e-154,"Fib1",153.368263002833
"163","LGR5",3.0418947,3.15607145965352e-151,1.89799179315777e-149,"Fib1",148.721705669777
"164","PALM",2.0064151,3.29342050626132e-151,1.9728234601232e-149,"Fib1",148.70491177624
"165","SDCBP",1.3544221,5.99220367888672e-151,3.56151405427995e-149,"Fib1",148.448365337523
"166","CXCL14",1.0765795,1.13323027619244e-150,6.70933816621687e-149,"Fib1",148.173320318123
"167","CAB39L",3.020819,4.95031239728325e-149,2.89716558883148e-147,"Fib1",146.538026681786
"168","PTGES",2.2691183,1.51822114853238e-149,8.9195492476277e-148,"Fib1",147.049657092285
"169","EGFR",1.8263886,8.49248241114918e-149,4.95124690191999e-147,"Fib1",146.305285416333
"170","NOV",2.7354252,7.75709251431411e-148,4.48824197561167e-146,"Fib1",145.347923736903
"171","CD63",0.83856356,2.45295163359635e-148,1.42467057806784e-146,"Fib1",145.846285544544
"172","ADM",2.7184145,8.06402774330906e-147,4.63075277364834e-145,"Fib1",144.334348404475
"173","ALDH3A2",1.9204664,3.25034930359775e-147,1.87355040047003e-145,"Fib1",144.727334619436
"174","TAGLN2",1.3302376,8.60779109735548e-147,4.92449471955449e-145,"Fib1",144.307638323901
"175","APLP2",1.1802192,9.56522776423008e-147,5.45182291412741e-145,"Fib1",144.263458259343
"176","SLIT3",1.0560035,1.67525142232923e-145,9.47757980595519e-144,"Fib1",143.02330254991
"177","MYOF",1.6730032,6.53987623249188e-144,3.65921646341808e-142,"Fib1",141.43661189877
"178","LHFPL6",1.2802267,4.80617551237563e-144,2.69905628498301e-142,"Fib1",141.568788058755
"179","PDGFD",1.9226936,1.12838371465624e-141,6.15573615763361e-140,"Fib1",139.210720002833
"180","CRISPLD2",1.601067,7.9741826395458e-142,4.36579354190187e-140,"Fib1",139.3599368059
"181","RTN4",1.0905476,6.78203157187766e-142,3.72645799497954e-140,"Fib1",139.428703769819
"182","SLITRK4",3.5699925,4.62035581148962e-140,2.48506813452479e-138,"Fib1",137.604661699469
"183","ADAMTSL4",2.9389467,8.5499439159542e-140,4.53473587903473e-138,"Fib1",137.343448002897
"184","HSPG2",1.6456023,1.59479235397962e-140,8.63845858405628e-139,"Fib1",138.063563744577
"185","NNMT",1.2290684,1.23335127072207e-140,6.70442728123829e-139,"Fib1",138.173638315385
"186","HLA-C",1.047592,4.45315446744346e-140,2.40360192544872e-138,"Fib1",137.619137456759
"187","RBPJ",1.5374607,7.94455012320033e-140,4.22832763525732e-138,"Fib1",137.373831368415
"188","ANXA5",0.9638547,7.34792292827636e-140,3.92445883669305e-138,"Fib1",137.406220221834
"189","ANXA1",0.94378465,5.62140065771825e-138,2.9711728389843e-136,"Fib1",135.527072083695
"190","AHR",2.538461,1.3221958264086e-136,6.94039218157781e-135,"Fib1",134.158615988121
"191","ITM2A",2.1373432,5.41205193594542e-136,2.80234214649377e-134,"Fib1",133.552478841476
"192","MRC2",1.6249398,3.19264884174922e-136,1.67012709101779e-134,"Fib1",133.777250479255
